Calculation1,School,City,County/State/ Territory,Count,Uad Uc Ethn 6 Cat,School name,Pivot Field Values
ALVERNO HIGH SCHOOL53378,ALVERNO HIGH SCHOOL,Sierra Madre,Los Angeles,Enr,All,Alverno high school,4
ALVERNO HIGH SCHOOL53378,ALVERNO HIGH SCHOOL,Sierra Madre,Los Angeles,Adm,All,Alverno high school,13
ALVERNO HIGH SCHOOL53378,ALVERNO HIGH SCHOOL,Sierra Madre,Los Angeles,App,All,Alverno high school,21
AMBASSADOR HIGH SCHOOL54687,AMBASSADOR HIGH SCHOOL,Torrance,Los Angeles,Adm,White,Ambassador high school,3
AMBASSADOR HIGH SCHOOL54687,AMBASSADOR HIGH SCHOOL,Torrance,Los Angeles,App,White,Ambassador high school,5
AMBASSADOR HIGH SCHOOL54687,AMBASSADOR HIGH SCHOOL,Torrance,Los Angeles,Adm,All,Ambassador high school,4
AMBASSADOR HIGH SCHOOL54687,AMBASSADOR HIGH SCHOOL,Torrance,Los Angeles,App,All,Ambassador high school,7
ANAHEIM DISC CHRISTIAN J/S HS50146,ANAHEIM DISC CHRISTIAN J/S HS,Anaheim,Orange,Adm,Inter- national,Anaheim disc christian j/s hs,5
ANAHEIM DISC CHRISTIAN J/S HS50146,ANAHEIM DISC CHRISTIAN J/S HS,Anaheim,Orange,App,Inter- national,Anaheim disc christian j/s hs,6
ANAHEIM DISC CHRISTIAN J/S HS50146,ANAHEIM DISC CHRISTIAN J/S HS,Anaheim,Orange,Enr,All,Anaheim disc christian j/s hs,3
ANAHEIM DISC CHRISTIAN J/S HS50146,ANAHEIM DISC CHRISTIAN J/S HS,Anaheim,Orange,Adm,All,Anaheim disc christian j/s hs,7
ANAHEIM DISC CHRISTIAN J/S HS50146,ANAHEIM DISC CHRISTIAN J/S HS,Anaheim,Orange,App,All,Anaheim disc christian j/s hs,8
APOSTLES LUTHERAN SCHOOL54682,APOSTLES LUTHERAN SCHOOL,San Jose,Santa Clara,Adm,Inter- national,Apostles lutheran school,4
APOSTLES LUTHERAN SCHOOL54682,APOSTLES LUTHERAN SCHOOL,San Jose,Santa Clara,App,Inter- national,Apostles lutheran school,4
APOSTLES LUTHERAN SCHOOL54682,APOSTLES LUTHERAN SCHOOL,San Jose,Santa Clara,Adm,All,Apostles lutheran school,5
APOSTLES LUTHERAN SCHOOL54682,APOSTLES LUTHERAN SCHOOL,San Jose,Santa Clara,App,All,Apostles lutheran school,5
AQUINAS HIGH SCHOOL52772,AQUINAS HIGH SCHOOL,San Bernardino,San Bernardino,Enr,Inter- national,Aquinas high school,4
AQUINAS HIGH SCHOOL52772,AQUINAS HIGH SCHOOL,San Bernardino,San Bernardino,Adm,Inter- national,Aquinas high school,10
AQUINAS HIGH SCHOOL52772,AQUINAS HIGH SCHOOL,San Bernardino,San Bernardino,App,Inter- national,Aquinas high school,14
AQUINAS HIGH SCHOOL52772,AQUINAS HIGH SCHOOL,San Bernardino,San Bernardino,App,White,Aquinas high school,3
AQUINAS HIGH SCHOOL52772,AQUINAS HIGH SCHOOL,San Bernardino,San Bernardino,Adm,Asian,Aquinas high school,4
AQUINAS HIGH SCHOOL52772,AQUINAS HIGH SCHOOL,San Bernardino,San Bernardino,App,Asian,Aquinas high school,8
AQUINAS HIGH SCHOOL52772,AQUINAS HIGH SCHOOL,San Bernardino,San Bernardino,Enr,Hispanic/ Latino,Aquinas high school,10
AQUINAS HIGH SCHOOL52772,AQUINAS HIGH SCHOOL,San Bernardino,San Bernardino,Adm,Hispanic/ Latino,Aquinas high school,20
AQUINAS HIGH SCHOOL52772,AQUINAS HIGH SCHOOL,San Bernardino,San Bernardino,App,Hispanic/ Latino,Aquinas high school,25
AQUINAS HIGH SCHOOL52772,AQUINAS HIGH SCHOOL,San Bernardino,San Bernardino,App,African American,Aquinas high school,8
AQUINAS HIGH SCHOOL52772,AQUINAS HIGH SCHOOL,San Bernardino,San Bernardino,Enr,All,Aquinas high school,19
AQUINAS HIGH SCHOOL52772,AQUINAS HIGH SCHOOL,San Bernardino,San Bernardino,Adm,All,Aquinas high school,38
AQUINAS HIGH SCHOOL52772,AQUINAS HIGH SCHOOL,San Bernardino,San Bernardino,App,All,Aquinas high school,59
AQUINAS INTERNATIONAL ACADEMY50517,AQUINAS INTERNATIONAL ACADEMY,Garden Grove,Orange,App,Inter- national,Aquinas international academy,29
AQUINAS INTERNATIONAL ACADEMY50517,AQUINAS INTERNATIONAL ACADEMY,Garden Grove,Orange,Enr,All,Aquinas international academy,6
AQUINAS INTERNATIONAL ACADEMY50517,AQUINAS INTERNATIONAL ACADEMY,Garden Grove,Orange,Adm,All,Aquinas international academy,19
AQUINAS INTERNATIONAL ACADEMY50517,AQUINAS INTERNATIONAL ACADEMY,Garden Grove,Orange,App,All,Aquinas international academy,29
ARCHBISHOP MITTY HIGH SCHOOL53078,ARCHBISHOP MITTY HIGH SCHOOL,San Jose,Santa Clara,Enr,Domestic unknown,Archbishop mitty high school,4
ARCHBISHOP MITTY HIGH SCHOOL53078,ARCHBISHOP MITTY HIGH SCHOOL,San Jose,Santa Clara,Adm,Domestic unknown,Archbishop mitty high school,13
ARCHBISHOP MITTY HIGH SCHOOL53078,ARCHBISHOP MITTY HIGH SCHOOL,San Jose,Santa Clara,Enr,White,Archbishop mitty high school,17
ARCHBISHOP MITTY HIGH SCHOOL53078,ARCHBISHOP MITTY HIGH SCHOOL,San Jose,Santa Clara,Adm,White,Archbishop mitty high school,47
ARCHBISHOP MITTY HIGH SCHOOL53078,ARCHBISHOP MITTY HIGH SCHOOL,San Jose,Santa Clara,App,White,Archbishop mitty high school,91
ARCHBISHOP MITTY HIGH SCHOOL53078,ARCHBISHOP MITTY HIGH SCHOOL,San Jose,Santa Clara,Enr,Asian,Archbishop mitty high school,47
ARCHBISHOP MITTY HIGH SCHOOL53078,ARCHBISHOP MITTY HIGH SCHOOL,San Jose,Santa Clara,Adm,Asian,Archbishop mitty high school,108
ARCHBISHOP MITTY HIGH SCHOOL53078,ARCHBISHOP MITTY HIGH SCHOOL,San Jose,Santa Clara,App,Asian,Archbishop mitty high school,148
ARCHBISHOP MITTY HIGH SCHOOL53078,ARCHBISHOP MITTY HIGH SCHOOL,San Jose,Santa Clara,Enr,Hispanic/ Latino,Archbishop mitty high school,9
ARCHBISHOP MITTY HIGH SCHOOL53078,ARCHBISHOP MITTY HIGH SCHOOL,San Jose,Santa Clara,Adm,Hispanic/ Latino,Archbishop mitty high school,24
ARCHBISHOP MITTY HIGH SCHOOL53078,ARCHBISHOP MITTY HIGH SCHOOL,San Jose,Santa Clara,App,Hispanic/ Latino,Archbishop mitty high school,46
ARCHBISHOP MITTY HIGH SCHOOL53078,ARCHBISHOP MITTY HIGH SCHOOL,San Jose,Santa Clara,Enr,African American,Archbishop mitty high school,7
ARCHBISHOP MITTY HIGH SCHOOL53078,ARCHBISHOP MITTY HIGH SCHOOL,San Jose,Santa Clara,Adm,African American,Archbishop mitty high school,8
ARCHBISHOP MITTY HIGH SCHOOL53078,ARCHBISHOP MITTY HIGH SCHOOL,San Jose,Santa Clara,App,African American,Archbishop mitty high school,17
ARCHBISHOP MITTY HIGH SCHOOL53078,ARCHBISHOP MITTY HIGH SCHOOL,San Jose,Santa Clara,Enr,All,Archbishop mitty high school,84
ARCHBISHOP MITTY HIGH SCHOOL53078,ARCHBISHOP MITTY HIGH SCHOOL,San Jose,Santa Clara,Adm,All,Archbishop mitty high school,200
ARCHBISHOP MITTY HIGH SCHOOL53078,ARCHBISHOP MITTY HIGH SCHOOL,San Jose,Santa Clara,App,All,Archbishop mitty high school,319
ARCHBISHOP RIORDAN HIGH SCHOOL53000,ARCHBISHOP RIORDAN HIGH SCHOOL,San Francisco,San Francisco,Adm,Inter- national,Archbishop riordan high school,6
ARCHBISHOP RIORDAN HIGH SCHOOL53000,ARCHBISHOP RIORDAN HIGH SCHOOL,San Francisco,San Francisco,App,Inter- national,Archbishop riordan high school,7
ARCHBISHOP RIORDAN HIGH SCHOOL53000,ARCHBISHOP RIORDAN HIGH SCHOOL,San Francisco,San Francisco,Adm,White,Archbishop riordan high school,7
ARCHBISHOP RIORDAN HIGH SCHOOL53000,ARCHBISHOP RIORDAN HIGH SCHOOL,San Francisco,San Francisco,App,White,Archbishop riordan high school,10
ARCHBISHOP RIORDAN HIGH SCHOOL53000,ARCHBISHOP RIORDAN HIGH SCHOOL,San Francisco,San Francisco,Enr,Asian,Archbishop riordan high school,11
ARCHBISHOP RIORDAN HIGH SCHOOL53000,ARCHBISHOP RIORDAN HIGH SCHOOL,San Francisco,San Francisco,Adm,Asian,Archbishop riordan high school,17
ARCHBISHOP RIORDAN HIGH SCHOOL53000,ARCHBISHOP RIORDAN HIGH SCHOOL,San Francisco,San Francisco,App,Asian,Archbishop riordan high school,23
ARCHBISHOP RIORDAN HIGH SCHOOL53000,ARCHBISHOP RIORDAN HIGH SCHOOL,San Francisco,San Francisco,Enr,Hispanic/ Latino,Archbishop riordan high school,4
ARCHBISHOP RIORDAN HIGH SCHOOL53000,ARCHBISHOP RIORDAN HIGH SCHOOL,San Francisco,San Francisco,Adm,Hispanic/ Latino,Archbishop riordan high school,10
ARCHBISHOP RIORDAN HIGH SCHOOL53000,ARCHBISHOP RIORDAN HIGH SCHOOL,San Francisco,San Francisco,App,Hispanic/ Latino,Archbishop riordan high school,13
ARCHBISHOP RIORDAN HIGH SCHOOL53000,ARCHBISHOP RIORDAN HIGH SCHOOL,San Francisco,San Francisco,Adm,African American,Archbishop riordan high school,4
ARCHBISHOP RIORDAN HIGH SCHOOL53000,ARCHBISHOP RIORDAN HIGH SCHOOL,San Francisco,San Francisco,App,African American,Archbishop riordan high school,4
ARCHBISHOP RIORDAN HIGH SCHOOL53000,ARCHBISHOP RIORDAN HIGH SCHOOL,San Francisco,San Francisco,Enr,All,Archbishop riordan high school,21
ARCHBISHOP RIORDAN HIGH SCHOOL53000,ARCHBISHOP RIORDAN HIGH SCHOOL,San Francisco,San Francisco,Adm,All,Archbishop riordan high school,46
ARCHBISHOP RIORDAN HIGH SCHOOL53000,ARCHBISHOP RIORDAN HIGH SCHOOL,San Francisco,San Francisco,App,All,Archbishop riordan high school,60
ARCHER SCHOOL FOR GIRLS52339,ARCHER SCHOOL FOR GIRLS,Los Angeles,Los Angeles,Adm,White,Archer school for girls,14
ARCHER SCHOOL FOR GIRLS52339,ARCHER SCHOOL FOR GIRLS,Los Angeles,Los Angeles,App,White,Archer school for girls,25
ARCHER SCHOOL FOR GIRLS52339,ARCHER SCHOOL FOR GIRLS,Los Angeles,Los Angeles,Enr,Asian,Archer school for girls,5
ARCHER SCHOOL FOR GIRLS52339,ARCHER SCHOOL FOR GIRLS,Los Angeles,Los Angeles,Adm,Asian,Archer school for girls,7
ARCHER SCHOOL FOR GIRLS52339,ARCHER SCHOOL FOR GIRLS,Los Angeles,Los Angeles,App,Asian,Archer school for girls,10
ARCHER SCHOOL FOR GIRLS52339,ARCHER SCHOOL FOR GIRLS,Los Angeles,Los Angeles,Adm,Hispanic/ Latino,Archer school for girls,3
ARCHER SCHOOL FOR GIRLS52339,ARCHER SCHOOL FOR GIRLS,Los Angeles,Los Angeles,App,Hispanic/ Latino,Archer school for girls,5
ARCHER SCHOOL FOR GIRLS52339,ARCHER SCHOOL FOR GIRLS,Los Angeles,Los Angeles,Enr,African American,Archer school for girls,4
ARCHER SCHOOL FOR GIRLS52339,ARCHER SCHOOL FOR GIRLS,Los Angeles,Los Angeles,Adm,African American,Archer school for girls,6
ARCHER SCHOOL FOR GIRLS52339,ARCHER SCHOOL FOR GIRLS,Los Angeles,Los Angeles,App,African American,Archer school for girls,11
ARCHER SCHOOL FOR GIRLS52339,ARCHER SCHOOL FOR GIRLS,Los Angeles,Los Angeles,Enr,All,Archer school for girls,11
ARCHER SCHOOL FOR GIRLS52339,ARCHER SCHOOL FOR GIRLS,Los Angeles,Los Angeles,Adm,All,Archer school for girls,30
ARCHER SCHOOL FOR GIRLS52339,ARCHER SCHOOL FOR GIRLS,Los Angeles,Los Angeles,App,All,Archer school for girls,51
ARETE PREPARATORY ACADEMY54224,ARETE PREPARATORY ACADEMY,Los Angeles,Los Angeles,Adm,All,Arete preparatory academy,4
ARETE PREPARATORY ACADEMY54224,ARETE PREPARATORY ACADEMY,Los Angeles,Los Angeles,App,All,Arete preparatory academy,4
ARMENIAN MESROBIAN HIGH SCHOOL52653,ARMENIAN MESROBIAN HIGH SCHOOL,Pico Rivera,Los Angeles,App,White,Armenian mesrobian high school,22
ARMENIAN MESROBIAN HIGH SCHOOL52653,ARMENIAN MESROBIAN HIGH SCHOOL,Pico Rivera,Los Angeles,Enr,All,Armenian mesrobian high school,9
ARMENIAN MESROBIAN HIGH SCHOOL52653,ARMENIAN MESROBIAN HIGH SCHOOL,Pico Rivera,Los Angeles,Adm,All,Armenian mesrobian high school,15
ARMENIAN MESROBIAN HIGH SCHOOL52653,ARMENIAN MESROBIAN HIGH SCHOOL,Pico Rivera,Los Angeles,App,All,Armenian mesrobian high school,22
ARMY AND NAVY ACADEMY50470,ARMY AND NAVY ACADEMY,Carlsbad,San Diego,Enr,Inter- national,Army and navy academy,5
ARMY AND NAVY ACADEMY50470,ARMY AND NAVY ACADEMY,Carlsbad,San Diego,Adm,Inter- national,Army and navy academy,7
ARMY AND NAVY ACADEMY50470,ARMY AND NAVY ACADEMY,Carlsbad,San Diego,App,Inter- national,Army and navy academy,7
ARMY AND NAVY ACADEMY50470,ARMY AND NAVY ACADEMY,Carlsbad,San Diego,App,White,Army and navy academy,4
ARMY AND NAVY ACADEMY50470,ARMY AND NAVY ACADEMY,Carlsbad,San Diego,Enr,Asian,Army and navy academy,3
ARMY AND NAVY ACADEMY50470,ARMY AND NAVY ACADEMY,Carlsbad,San Diego,Adm,Asian,Army and navy academy,9
ARMY AND NAVY ACADEMY50470,ARMY AND NAVY ACADEMY,Carlsbad,San Diego,App,Asian,Army and navy academy,10
ARMY AND NAVY ACADEMY50470,ARMY AND NAVY ACADEMY,Carlsbad,San Diego,Enr,All,Army and navy academy,10
ARMY AND NAVY ACADEMY50470,ARMY AND NAVY ACADEMY,Carlsbad,San Diego,Adm,All,Army and navy academy,21
ARMY AND NAVY ACADEMY50470,ARMY AND NAVY ACADEMY,Carlsbad,San Diego,App,All,Army and navy academy,25
ARROWHEAD CHRISTIAN ACADEMY52774,ARROWHEAD CHRISTIAN ACADEMY,Redlands,San Bernardino,Enr,Inter- national,Arrowhead christian academy,5
ARROWHEAD CHRISTIAN ACADEMY52774,ARROWHEAD CHRISTIAN ACADEMY,Redlands,San Bernardino,Adm,Inter- national,Arrowhead christian academy,9
ARROWHEAD CHRISTIAN ACADEMY52774,ARROWHEAD CHRISTIAN ACADEMY,Redlands,San Bernardino,App,Inter- national,Arrowhead christian academy,10
ARROWHEAD CHRISTIAN ACADEMY52774,ARROWHEAD CHRISTIAN ACADEMY,Redlands,San Bernardino,App,White,Arrowhead christian academy,4
ARROWHEAD CHRISTIAN ACADEMY52774,ARROWHEAD CHRISTIAN ACADEMY,Redlands,San Bernardino,App,Asian,Arrowhead christian academy,3
ARROWHEAD CHRISTIAN ACADEMY52774,ARROWHEAD CHRISTIAN ACADEMY,Redlands,San Bernardino,App,Hispanic/ Latino,Arrowhead christian academy,8
ARROWHEAD CHRISTIAN ACADEMY52774,ARROWHEAD CHRISTIAN ACADEMY,Redlands,San Bernardino,Enr,All,Arrowhead christian academy,10
ARROWHEAD CHRISTIAN ACADEMY52774,ARROWHEAD CHRISTIAN ACADEMY,Redlands,San Bernardino,Adm,All,Arrowhead christian academy,16
ARROWHEAD CHRISTIAN ACADEMY52774,ARROWHEAD CHRISTIAN ACADEMY,Redlands,San Bernardino,App,All,Arrowhead christian academy,27
ARROYO PACIFIC ACADEMY50144,ARROYO PACIFIC ACADEMY,Arcadia,Los Angeles,Enr,All,Arroyo pacific academy,4
ARROYO PACIFIC ACADEMY50144,ARROYO PACIFIC ACADEMY,Arcadia,Los Angeles,Adm,All,Arroyo pacific academy,4
ARROYO PACIFIC ACADEMY50144,ARROYO PACIFIC ACADEMY,Arcadia,Los Angeles,App,All,Arroyo pacific academy,6
ATHENIAN SCHOOL50724,ATHENIAN SCHOOL,Danville,Contra Costa,Adm,Inter- national,Athenian school,4
ATHENIAN SCHOOL50724,ATHENIAN SCHOOL,Danville,Contra Costa,App,Inter- national,Athenian school,5
ATHENIAN SCHOOL50724,ATHENIAN SCHOOL,Danville,Contra Costa,App,Domestic unknown,Athenian school,4
ATHENIAN SCHOOL50724,ATHENIAN SCHOOL,Danville,Contra Costa,Enr,White,Athenian school,4
ATHENIAN SCHOOL50724,ATHENIAN SCHOOL,Danville,Contra Costa,Adm,White,Athenian school,12
ATHENIAN SCHOOL50724,ATHENIAN SCHOOL,Danville,Contra Costa,App,White,Athenian school,23
ATHENIAN SCHOOL50724,ATHENIAN SCHOOL,Danville,Contra Costa,Enr,Asian,Athenian school,4
ATHENIAN SCHOOL50724,ATHENIAN SCHOOL,Danville,Contra Costa,Adm,Asian,Athenian school,10
ATHENIAN SCHOOL50724,ATHENIAN SCHOOL,Danville,Contra Costa,App,Asian,Athenian school,19
ATHENIAN SCHOOL50724,ATHENIAN SCHOOL,Danville,Contra Costa,App,Hispanic/ Latino,Athenian school,3
ATHENIAN SCHOOL50724,ATHENIAN SCHOOL,Danville,Contra Costa,App,African American,Athenian school,5
ATHENIAN SCHOOL50724,ATHENIAN SCHOOL,Danville,Contra Costa,Enr,All,Athenian school,10
ATHENIAN SCHOOL50724,ATHENIAN SCHOOL,Danville,Contra Costa,Adm,All,Athenian school,32
ATHENIAN SCHOOL50724,ATHENIAN SCHOOL,Danville,Contra Costa,App,All,Athenian school,59
AVERROES HIGH SCHOOL54727,AVERROES HIGH SCHOOL,Berkeley,Alameda,App,Asian,Averroes high school,3
AVERROES HIGH SCHOOL54727,AVERROES HIGH SCHOOL,Berkeley,Alameda,Enr,All,Averroes high school,3
AVERROES HIGH SCHOOL54727,AVERROES HIGH SCHOOL,Berkeley,Alameda,Adm,All,Averroes high school,4
AVERROES HIGH SCHOOL54727,AVERROES HIGH SCHOOL,Berkeley,Alameda,App,All,Averroes high school,7
BAKERSFIELD CHRISTIAN HS50208,BAKERSFIELD CHRISTIAN HS,Bakersfield,Kern,Enr,White,Bakersfield christian hs,3
BAKERSFIELD CHRISTIAN HS50208,BAKERSFIELD CHRISTIAN HS,Bakersfield,Kern,Adm,White,Bakersfield christian hs,10
BAKERSFIELD CHRISTIAN HS50208,BAKERSFIELD CHRISTIAN HS,Bakersfield,Kern,App,White,Bakersfield christian hs,25
BAKERSFIELD CHRISTIAN HS50208,BAKERSFIELD CHRISTIAN HS,Bakersfield,Kern,App,Hispanic/ Latino,Bakersfield christian hs,6
BAKERSFIELD CHRISTIAN HS50208,BAKERSFIELD CHRISTIAN HS,Bakersfield,Kern,Adm,African American,Bakersfield christian hs,4
BAKERSFIELD CHRISTIAN HS50208,BAKERSFIELD CHRISTIAN HS,Bakersfield,Kern,App,African American,Bakersfield christian hs,5
BAKERSFIELD CHRISTIAN HS50208,BAKERSFIELD CHRISTIAN HS,Bakersfield,Kern,Enr,All,Bakersfield christian hs,6
BAKERSFIELD CHRISTIAN HS50208,BAKERSFIELD CHRISTIAN HS,Bakersfield,Kern,Adm,All,Bakersfield christian hs,17
BAKERSFIELD CHRISTIAN HS50208,BAKERSFIELD CHRISTIAN HS,Bakersfield,Kern,App,All,Bakersfield christian hs,40
BALBOA SCHOOL52821,BALBOA SCHOOL,Escondido,San Diego,App,African American,Balboa school,3
BALBOA SCHOOL52821,BALBOA SCHOOL,Escondido,San Diego,App,All,Balboa school,4
BASIS INDEPENDENT SILICON VLY54776,BASIS INDEPENDENT SILICON VLY,San Jose,Santa Clara,Adm,Inter- national,Basis independent silicon vly,6
BASIS INDEPENDENT SILICON VLY54776,BASIS INDEPENDENT SILICON VLY,San Jose,Santa Clara,App,Inter- national,Basis independent silicon vly,6
BASIS INDEPENDENT SILICON VLY54776,BASIS INDEPENDENT SILICON VLY,San Jose,Santa Clara,Adm,White,Basis independent silicon vly,7
BASIS INDEPENDENT SILICON VLY54776,BASIS INDEPENDENT SILICON VLY,San Jose,Santa Clara,App,White,Basis independent silicon vly,7
BASIS INDEPENDENT SILICON VLY54776,BASIS INDEPENDENT SILICON VLY,San Jose,Santa Clara,Enr,Asian,Basis independent silicon vly,23
BASIS INDEPENDENT SILICON VLY54776,BASIS INDEPENDENT SILICON VLY,San Jose,Santa Clara,Adm,Asian,Basis independent silicon vly,55
BASIS INDEPENDENT SILICON VLY54776,BASIS INDEPENDENT SILICON VLY,San Jose,Santa Clara,App,Asian,Basis independent silicon vly,63
BASIS INDEPENDENT SILICON VLY54776,BASIS INDEPENDENT SILICON VLY,San Jose,Santa Clara,Enr,All,Basis independent silicon vly,30
BASIS INDEPENDENT SILICON VLY54776,BASIS INDEPENDENT SILICON VLY,San Jose,Santa Clara,Adm,All,Basis independent silicon vly,81
BASIS INDEPENDENT SILICON VLY54776,BASIS INDEPENDENT SILICON VLY,San Jose,Santa Clara,App,All,Basis independent silicon vly,89
BAY SCHOOL OF SAN FRANCISCO53985,BAY SCHOOL OF SAN FRANCISCO,San Francisco,San Francisco,App,Domestic unknown,Bay school of san francisco,6
BAY SCHOOL OF SAN FRANCISCO53985,BAY SCHOOL OF SAN FRANCISCO,San Francisco,San Francisco,Enr,White,Bay school of san francisco,3
BAY SCHOOL OF SAN FRANCISCO53985,BAY SCHOOL OF SAN FRANCISCO,San Francisco,San Francisco,Adm,White,Bay school of san francisco,11
BAY SCHOOL OF SAN FRANCISCO53985,BAY SCHOOL OF SAN FRANCISCO,San Francisco,San Francisco,App,White,Bay school of san francisco,31
BAY SCHOOL OF SAN FRANCISCO53985,BAY SCHOOL OF SAN FRANCISCO,San Francisco,San Francisco,Enr,Asian,Bay school of san francisco,3
BAY SCHOOL OF SAN FRANCISCO53985,BAY SCHOOL OF SAN FRANCISCO,San Francisco,San Francisco,Adm,Asian,Bay school of san francisco,6
BAY SCHOOL OF SAN FRANCISCO53985,BAY SCHOOL OF SAN FRANCISCO,San Francisco,San Francisco,App,Asian,Bay school of san francisco,9
