Record Type,School,Charter Yes/No,Public Yes/No,Street City,Street Zip,
School,"Options For Youth - Duarte, Inc",Y,Y,City Of Industry,91744-2203,
School,"Heights Christian Schools, La Mirada",N,N,La Mirada,90638-1638,
School,Academy for Advancement of Children with Autism-AV,N,N,Lancaster,93536-7849,
School,Amy's Academy,N,N,Lancaster,93535-2884,
School,Lancaster Baptist School,N,N,Lancaster,93535-7727,
School,American Hollywood Film Academy,N,N,El Monte,91731,
School,Calvary Chapel El Monte Homeschool Academy,N,N,El Monte,91731-1209,
School,Hollywood film school,N,N,La Puente,91744-1336,
School,Shield of Faith Christian School-EHE,N,N,El Monte,91731-1483,
School,Sunshine Education Academy,N,N,El Monte,91731-2475,
School,Arroyo High,N,Y,El Monte,91732-1099,
School,El Monte High,N,Y,El Monte,91731-3365,
School,Fernando R. Ledesma Continuation High,N,Y,El Monte,91732-2569,
School,Mountain View High,N,Y,El Monte,91732-3695,
School,New Life Christian School,N,N,El Monte,91731-3213,
School,Rio Hondo Preparatory,N,N,Arcadia,91006-5966,
School,Rosemead High,N,Y,Rosemead,91770-4411,
School,South El Monte High,N,Y,South El Monte,91733-4409,
School,El Rancho High,N,Y,Pico Rivera,90660-3373,
School,Ruben Salazar Continuation,N,Y,Pico Rivera,90660-3225,
School,Arena High (Continuation),N,Y,El Segundo,90245-3036,
School,El Segundo High,N,Y,El Segundo,90245-3057,
School,Futures Academy - Manhattan Beach,N,N,El Segundo,90245-4786,
School,Waterhouse Guild,N,N,El Segundo,90245-2202,
School,Anderson W. Clark Magnet High,N,Y,La Crescenta,91214-1841,
School,Babajanyan Private School,N,N,Glendale,91205-1958,
School,Crescenta Valley High,N,Y,La Crescenta,91214-3471,
School,Daily (Allan F.) High (Continuation),N,Y,Glendale,91206-4209,
School,FM International School,N,N,La Crescenta,91214-3457,
School,Glendale Adventist Academy,N,N,Glendale,91206-1641,
School,Glendale High,N,Y,Glendale,91205-1503,
School,Herbert Hoover High,N,Y,Glendale,91202-1552,
School,Holy Family High School,N,N,Glendale,91205-1622,
School,Reality of Life Academy,N,N,North Hills,91343-4631,
School,Surface At-Home,N,N,Glendale,91208-1509,
School,Verdugo Academy,N,Y,La Crescenta,91214-1814,
School,Glendora High,N,Y,Glendora,91741-3024,
School,"Mary, Seat of Wisdom",N,N,Glendora,91741-4223,
School,St. Lucy's Priory High School,N,N,Glendora,91741-1955,
School,Trujillo Academy,N,N,Information Redacted,Information Redacted,
School,Whitcomb Continuation High,N,Y,Glendora,91740-4399,
School,Gorman Learning Center,Y,Y,Redlands,92374-2821,
School,DEWAY SCHOOL,N,N,City of Industry,91748-5766,
School,Glen A. Wilson High,N,Y,Hacienda Heights,91745-3045,
School,La Puente High,N,Y,La Puente,91744-3910,
School,Los Altos High,N,Y,Hacienda Heights,91745-2717,
School,Progress Learning Center,N,N,La Puente,91744-1600,
School,Puente Hills High,N,Y,Hacienda Heights,91746-2829,
School,Sunshine Boarding School,N,N,La Puente,91744-1624,
School,Valley Alternative High (Continuation),N,Y,Hacienda Heights,91745-2121,
School,William Workman High,N,Y,City Of Industry,91744-4162,
School,Hawthorne Math and Science Academy,Y,Y,Hawthorne,90250-3819,
School,Animo Inglewood Charter High,Y,Y,Inglewood,90305-2101,
School,Calvary Chapel Christian Academy of Inglewood,N,N,Los Angeles,90056-1937,
School,City Honors International Preparatory High,Y,Y,Inglewood,90301-1225,
School,DRAGON ROCC VII ACADEMY,N,N,Inglewood,90301-3806,
School,Inglewood College Preparatory,N,N,Inglewood,90301-2703,
School,Inglewood Continuation High,N,Y,Inglewood,90301-2521,
School,Inglewood High,N,Y,Inglewood,90301-2323,
School,Morningside High,N,Y,Inglewood,90303-2003,
School,"Slauson Learning Center, No. 2",N,N,Inglewood,90301-1204,
School,St. Mary's Academy,N,N,Inglewood,90301-1359,
School,Sage Oak Charter School- Keppel,Y,Y,Redlands,92373-3913,
School,Flintridge Preparatory School,N,N,La Canada Flintridge,91011-3637,
School,Flintridge Sacred Heart Academy,N,N,La Canada,91011-4113,
School,Hillside School and Learning Center,N,N,La Canada,91011-3707,
School,La Canada High,N,Y,La Canada,91011-3738,
School,St. Francis High School,N,N,La Canada,91011-3700,
School,Calvary Chapel Christian School,N,N,Lancaster,93534-2124,
School,Desert Christian Schools,N,N,Lancaster,93534-2806,
School,Hogwarts Halls Of Ivy,N,N,Lancaster,93536-9345,
School,Lancaster Alternative and Virtual Academies,N,Y,Lancaster,93534,
School,"Seton, Inc.",N,N,Lancaster,93534-3101,
School,The Best Start Preparatory Academy,N,N,Los Angeles,90027-3018,
School,The Leadership Academy,N,Y,Lancaster,93534-4332,
School,Agoura High,N,Y,Agoura,91301-3335,
School,Arbor Academy,N,N,Calabasas,91302-1023,
School,Calabasas High,N,Y,Calabasas,91302-2047,
School,FEYDEY,N,N,Westlake Village,91362-7354,
School,Indian Hills Continuation High,N,Y,Agoura,91301-3335,
School,Las Virgenes Independent,N,Y,Calabasas,91302-3505,
School,Mariposa School of Global Education,N,Y,Agoura,91301-2104,
School,Mesivta of Greater Los Angeles,N,N,Calabasas,91302-1151,
School,Oaks Christian School,N,N,Westlake Village,91362-4010,
School,Qualia: The School for Deeper Learning,N,N,Calabasas,91302-1933,
School,Viewpoint School,N,N,Calabasas,91302-2060,
School,Environmental Charter High - Lawndale,Y,Y,Lawndale,90260-2858,
School,Animo Leadership High,Y,Y,Inglewood,90301-2902,
School,"Lennox Mathematics, Science and Technology Academy",Y,Y,Lennox,90304-2316,
School,Avalon K-12,N,Y,Santa Catalina,90704-0557,
School,"Beach Cities Learning, Long Beach",N,N,Long Beach,90808-2729,
School,Beach K-12 Independent Study,N,Y,Long Beach,90810-3400,
School,Bible Baptist Academy,N,N,Long Beach,90808-2125,
School,Cabrillo High,N,Y,Long Beach,90810-4068,
School,California Academy of Mathematics and Science,N,Y,Carson,90747-0001,
School,Clear Passage Educational Center,Y,Y,Long Beach,90813-2162,
School,Educational Partnership High,N,Y,Long Beach,90813-1770,
School,"Ernest S. McBride, Sr. High",N,Y,Long Beach,90808-2319,
School,Eunice Sato Academy of Math & Science,N,Y,Long Beach,90815-4649,
School,First Baptist Church School,N,N,Long Beach,90813-3119,
School,Gethsemane Baptist Christian,N,N,Long Beach,90805-3059,
School,Jordan High,N,Y,Long Beach,90805-2304,
School,Lakewood High,N,Y,Lakewood,90713-2512,
School,Millikan High,N,Y,Long Beach,90815-1436,
School,New Hope Academy of Change,N,N,Long Beach,90806-5125,
School,Pacific Baptist School,N,N,Long Beach,90806-1234,
School,Polytechnic High,N,Y,Long Beach,90813-2017,
School,Reid High,N,Y,Long Beach,90810-3400,
School,Renaissance High School for the Arts,N,Y,Long Beach,90813-4311,
School,Richard D. Browning High,N,Y,Long Beach,90804,
School,Saint Anthony High School,N,N,Long Beach,90802-1546,
School,Spectrum Center Schools- Long Beach Jordan Plus HS,N,N,Long Beach,90805-2111,
School,Spectrum Center Schools-Lakewood High School,N,N,Lakewood,90713-2512,
School,Spectrum Center- Long Beach Middle Country Cub,N,N,Lakewood,90712-3429,
School,Wilson High,N,Y,Long Beach,90804-4310,
School,Animo City of Champions Charter High,Y,Y,Inglewood,90305-2914,
School,Aspire Ollin University Preparatory Academy,Y,Y,Huntington Park,90255-2659,
School,Da Vinci RISE High,Y,Y,El Segundo,90245-4637,
School,Environmental Charter High - Gardena,Y,Y,Gardena,90249-4534,
School,Intellectual Virtues Academy,Y,Y,Long Beach,90813-4001,
School,Magnolia Science Academy,Y,Y,Reseda,91335-4550,
School,Magnolia Science Academy 2,Y,Y,Van Nuys,91406-5455,
School,Magnolia Science Academy 3,Y,Y,Carson,90746-3164,
School,Magnolia Science Academy 5,Y,Y,Reseda,91335-6121,
School,North Valley Military Institute College Preparatory Academy,Y,Y,Sun Valley,91352,
School,Russell Westbrook Why Not? High,Y,Y,Los Angeles,90062-2347,
School,T.I.M.E. Community,Y,Y,Montebello,90640-4032,
School,The SEED School of Los Angeles County,Y,Y,Los Angeles,90077-1519,
School,We the People High,Y,Y,Long Beach,90813-2304,
School,A1 College Preparatory,N,N,Los Angeles,90010-2901,
School,Abraham Lincoln Senior High,N,Y,Los Angeles,90031-2856,
School,Academies of Education and Empowerment at Carson High,N,Y,Carson,90745-4525,
School,Academy for Advancement of Children With Autism,N,N,West Hills,91304-6706,
School,Academy of Media Arts,Y,Y,Los Angeles,90062-1434,
School,Academy of Medical Arts at Carson High,N,Y,Carson,90745-4525,
School,AGBU Manoogian-Demirdjian,N,N,Canoga Park,91306-3913,
School,AH-CAPELLA,N,N,Los Angeles,90029-2701,
School,Alain Leroy Locke College Preparatory Academy,Y,Y,Los Angeles,90061-3003,
School,Albert Einstein Continuation,N,Y,North Hills,91343-3149,
School,Alex Pilibos Armenian,N,N,Los Angeles,90027-5207,
School,Alexander Hamilton Senior High,N,Y,Los Angeles,90034-3116,
School,Alliance Cindy and Bill Simon Technology Academy High,Y,Y,Los Angeles,90059-1236,
School,Alliance Collins Family College-Ready High,Y,Y,Huntington Park,90255-3635,
School,Alliance Dr. Olga Mohan High,Y,Y,Los Angeles,90015-3400,
School,Alliance Gertz-Ressler Richard Merkin 6-12 Complex,Y,Y,Los Angeles,90007-1326,
School,Alliance Judy Ivie Burton Technology Academy High,Y,Y,Los Angeles,90003-4534,
School,Alliance Leichtman-Levine Family Foundation Environmental Science High,Y,Y,Los Angeles,90065-1407,
School,Alliance Marc & Eva Stern Math and Science,Y,Y,Los Angeles,90032-4226,
School,Alliance Margaret M. Bloomfield Technology Academy High,Y,Y,Huntington Park,90255-6630,
School,Alliance Marine - Innovation and Technology 6-12 Complex,Y,Y,Sun Valley,91352-1834,
School,Alliance Morgan McKinzie High,Y,Y,Los Angeles,90063-2437,
School,Alliance Ouchi-O'Donovan 6-12 Complex,Y,Y,Los Angeles,90043-2622,
School,Alliance Patti And Peter Neuwirth Leadership Academy,Y,Y,Los Angeles,90037-2736,
School,Alliance Piera Barbaglia Shaheen Health Services Academy,Y,Y,Los Angeles,90044-3496,
School,Alliance Renee and Meyer Luskin Academy High,Y,Y,Los Angeles,90043-4420,
School,Alliance Susan and Eric Smidt Technology High,Y,Y,Los Angeles,90031-2508,
School,Alliance Ted K. Tajima High,Y,Y,Los Angeles,90026-5520,
School,Alliance Tennenbaum Family Technology High,Y,Y,Los Angeles,90065-1267,
School,Ambassador-Global Leadership,N,Y,Los Angeles,90005-1943,
School,Amelia Earhart Continuation,N,Y,North Hollywood,91601-3045,
School,American Unified School of Technology,N,N,ENCINO,91316-3034,
School,Anahuacalmecac International University Preparatory of North America,Y,Y,Los Angeles,90032-1942,
School,Angel's Gate (Continuation),N,Y,San Pedro,90731-6969,
School,Angeles Workshop School,N,N,Los Angeles,90064-1424,
School,Animo Jackie Robinson High,Y,Y,Los Angeles,90007-4333,
School,Animo Pat Brown,Y,Y,Los Angeles,90001-4014,
School,Animo Ralph Bunche Charter High,Y,Y,Los Angeles,90011-2202,
School,Animo South Los Angeles Charter,Y,Y,Los Angeles,90047-4845,
School,Animo Venice Charter High,Y,Y,Venice,90291-3408,
School,Animo Watts College Preparatory Academy,Y,Y,Los Angeles,90061-2728,
School,APEX Academy,Y,Y,Los Angeles,90028-8526,
School,Arleta High,N,Y,Arleta,91331-5103,
School,Arroyo Seco Museum Science,N,Y,Los Angeles,90042-4482,
School,Aspire Pacific Academy,Y,Y,Huntington Park,90255-4126,
School,Augustus Hawkins High,N,Y,Los Angeles,90044-5512,
School,"Bais Chana Heritage School, Inc DBA Ohel Chana",N,N,Los Angeles,90036-2727,
School,Bais Chaya Mushka School of Los Angeles,N,N,Los Angeles,90035-1324,
School,Bais Yaakov School for Girls,N,N,Los Angeles,90036-2502,
School,Balboa Gifted/High Ability Magnet Elementary,N,Y,Northridge,91325-1906,
School,Barack Obama Global Preparation Academy,N,Y,Los Angeles,90062-1901,
School,Bell Senior High,N,Y,Bell,90201-2528,
School,Belmont Senior High,N,Y,Los Angeles,90026-5701,
School,Benjamin Franklin Senior High,N,Y,Los Angeles,90042-2428,
School,Bert Corona Charter High,Y,Y,Pacoima,91331-1628,
School,Bethel Baptist Christian School,N,N,Carson,90745-1631,
School,Beyond the Classroom,N,N,Information Redacted,Information Redacted,
School,Birmingham Community Charter High,Y,Y,Lake Balboa,91406-5420,
School,Bishop Alemany High,N,N,Mission Hills,91345-1105,
School,Bishop Conaty–Our Lady of Loretto High School,N,N,Los Angeles,90006-3802,
School,Bishop Mora Salesian High School,N,N,Los Angeles,90023-1323,
School,Bnos Esther,N,N,L.A.,90036-2912,
School,Boyle Heights Continuation,N,Y,Los Angeles,90033-4348,
School,"Boyle Heights Science, Technology, Engineering and Math Magnet",N,Y,Los Angeles,90023-1420,
School,Boys Academic Leadership Academy,N,Y,Los Angeles,90047-4912,
School,Brami Acadamy,N,N,Northridge,91325-2412,
School,Brentwood School,N,N,Los Angeles,90049-3306,
School,Brentwood Science,N,Y,Los Angeles,90049-4927,
School,Bridge Academy,N,N,Los Angeles,90013-2013,
School,Bridgeport,N,N,Sherman Oaks,91401-6037,
School,Bridgeport Vocational West School,N,N,Los Angeles,90066-5214,
School,Bridgeport West School,N,N,Los Angeles,90066-5214,
School,Bridges Academy,N,N,Studio City,91604-3710,
School,Browns' Flexible Learning Academy,N,N,Woodland Hills,91367-7028,
School,BtpnLA,N,N,Los Angeles,90044-2416,
School,"Buckley School, The",N,N,Sherman Oaks,91423-4699,
School,Cal Burke High,N,Y,Panorama City,91402-4917,
School,Camino Nuevo High #2,Y,Y,Los Angeles,90004-3620,
School,Campbell Hall (Episcopal),N,N,Studio City,91607-4122,
School,Canoga Park Senior High,N,Y,Canoga Park,91303-2354,
School,Carousel,N,N,Los Angeles,90045-3145,
School,Carson Christian School,N,N,Carson,90746-1664,
School,Carson Senior High,N,Y,Carson,90745-4525,
School,"CATCH Prep Charter High, Inc.",Y,Y,Los Angeles,90008-3712,
School,Cathedral High School,N,N,Los Angeles,90012-1453,
School,Central City Value,Y,Y,Los Angeles,90004-4815,
School,Central High,N,Y,Los Angeles,90021-2114,
School,Cesar E. Chavez Learning Academies-Academy of Scientific Exploration (ASE),N,Y,San Fernando,91340-1817,
School,Cesar E. Chavez Learning Academies-Arts/Theatre/Entertain Mag,N,Y,San Fernando,91340-1817,
School,Cesar E. Chavez Learning Academies-Social Justice Humanitas Academy,N,Y,San Fernando,91340-1817,
School,Cesar E. Chavez Learning Academies-Technology Preparatory Academy,N,Y,San Fernando,91340-1817,
School,Chaminade College Preparatory,N,N,West Hills,91304-5384,
School,Champion of Life Academy,N,N,Los Angeles,90004-4103,
School,CHAMPS - Charter HS of Arts-Multimedia & Performing,Y,Y,Van Nuys,91405-3984,
School,Chatsworth Charter High,Y,Y,Chatsworth,91311-3153,
School,Cheviot Hills Continuation,N,Y,Los Angeles,90034-1906,
School,Chofetz Chaim Los Angeles Affiliate,N,N,Los Angeles,90035-4232,
School,City of Angels,N,Y,Los Angeles,90063-2423,
School,Coastal Academy,N,N,Lomita,90717-1701,
School,Collegiate Charter High School of Los Angeles,Y,Y,Los Angeles,90023-1840,
School,Communication and Technology at Diego Rivera Learning Complex,N,Y,Los Angeles,90001-1133,
School,Computer Science Virtual Academy,N,Y,Carson,90746-3164,
School,Contreras Learning Center-Academic Leadership Community,N,Y,Los Angeles,90017-1406,
School,Contreras Learning Center-Los Angeles School of Global Studies,N,Y,Los Angeles,90017-1406,
School,Contreras Learning Center-School of Social Justice,N,Y,Los Angeles,90017-1406,
School,Cornerstone Academy of Los Angeles,N,N,Los Angeles,90065-3704,
School,"Coutin School, LLC",N,N,Canoga Park,91303-2008,
School,"Crenshaw Science, Technology, Engineering, Math and Medicine Magnet",N,Y,Los Angeles,90043-4816,
School,Crescent Heights Boulevard Elementary,N,Y,Los Angeles,90035-4529,
School,Crespi Carmelite High School,N,N,Encino,91316-3611,
School,Dan M. Issacs Avalon High,N,Y,Wilmington,90744-1506,
School,Daniel Pearl Journalism & Communications Magnet,N,Y,Lake Balboa,91406-5529,
School,de Toledo High School,N,N,West Hills,91307-2646,
School,Delphi Academy of Los Angeles,N,N,Lake View Terrace,91342-6854,
School,Destinations Academy,N,N,Woodland Hills,91367-6696,
School,Devin A. Gonzales II Academy Of The Art's and Science Discovery For The Gifted,N,N,Carson,90745-5807,
School,Diego Rivera Learning Complex Green Design STEAM Academy,N,Y,Los Angeles,90001-1133,
School,Discovery Charter Preparatory #2,Y,Y,Sylmar,91342-2343,
School,Downtown Business High,N,Y,Los Angeles,90012-1573,
School,Dr. Maya Angelou Community High,N,Y,Los Angeles,90011-4522,
School,Dr. Richard A. Vladovic Harbor Teacher Preparation Academy,N,Y,Wilmington,90744-2311,
School,Dubnoff School,N,N,Northridge,91326-2551,
School,Eagle Rock High,N,Y,Los Angeles,90041-2815,
School,Eagle Tree Continuation,N,Y,Carson,90745-4514,
School,Early College Academy-LA Trade Tech College,N,Y,Los Angeles,90015-4108,
School,East Los Angeles Renaissance Academy at Esteban E. Torres High No. 2,N,Y,Los Angeles,90063-3422,
School,East Valley Senior High,N,Y,North Hollywood,91601-2730,
School,Ednovate - Brio College Prep,Y,Y,Los Angeles,90071-1115,
School,Ednovate - East College Prep,Y,Y,Los Angeles,90031-3137,
School,Ednovate - Esperanza College Prep,Y,Y,East Los Angeles,90022-1422,
School,Ednovate - South LA College Prep,Y,Y,Los Angeles,90017-3837,
School,Ednovate - USC Hybrid High College Prep,Y,Y,Los Angeles,90071-1936,
School,Edward R. Roybal Learning Center,N,Y,Los Angeles,90026-5816,
School,El Camino Real Charter High,Y,Y,Woodland Hills,91367-5949,
School,Elizabeth Learning Center,N,Y,Cudahy,90201-5205,
School,Ellington (Duke) High (Continuation),N,Y,Los Angeles,90047-4912,
School,Emet Learning Center,N,N,Valley Village,91607-3008,
School,Engineering and Technology Academy at Esteban E. Torres High No. 3,N,Y,Los Angeles,90063-3422,
School,Esteban Torres East LA Performing Arts Magnet,N,Y,Los Angeles,90063-3422,
School,Evergreen Continuation,N,Y,Sylmar,91342-4360,
School,Excellence Enrichment Academy,N,N,Information Redacted,Information Redacted,
School,Fairfax Senior High,N,Y,Los Angeles,90046-7210,
School,Fairhaven Christian Academy,N,N,La Crescenta,91214-3620,
School,Faith Baptist,N,N,Canoga Park,91304-5514,
School,Faith Christian School PSP,N,N,Rancho Palos Verdes,90275-3120,
School,Felicitas and Gonzalo Mendez High,N,Y,Los Angeles,90033-2730,
School,Foshay Learning Center,N,Y,Los Angeles,90018-4546,
School,Francisco Bravo Medical Magnet High,N,Y,Los Angeles,90033-1417,
School,Frederick K.C. Price III Christian Schools,N,N,Los Angeles,90044-3531,
School,Frida Kahlo High,N,Y,Los Angeles,90011-1031,
School,Fusion Academy,N,N,Los Angeles,90025-7534,
School,Fusion Academy,N,N,Los Angeles,90041-1741,
School,Fusion Academy,N,N,Hermosa Beach,90254-3267,
School,Fusion Academy,N,N,Los Angeles,90036,
School,"Fusion Academy, Warner Center",N,N,Woodland Hills,91367-4987,
School,Gardena Senior High,N,Y,Gardena,90248-3322,
School,Gateway Online High School,N,N,Los Angeles,90020-4145,
School,Geffen Academy at UCLA,N,N,Los Angeles,90095-2000,
School,George S. Patton Continuation,N,Y,Harbor City,90710-1759,
School,George Washington Preparatory High,N,Y,Los Angeles,90047-4622,
School,"Girls Academic Leadership Academy, Dr. Michelle King School for Sci, Tech, Eng and Math",N,Y,Los Angeles,90019-1839,
School,Grace Global Vision,N,N,Los Angeles,90004-5207,
School,Granada Hills Charter,Y,Y,Granada Hills,91344-5902,
School,Griffith Middle,N,Y,Los Angeles,90022-1846,
School,Grover Cleveland Charter High,Y,Y,Reseda,91335-1136,
School,Groza Academy,N,N,Pacific Palisades,90272-3731,
School,Harkham-GAON Academy,N,N,Beverly Hills,90211-3540,
School,Harris Newmark Continuation,N,Y,Los Angeles,90026-5701,
School,Harvard-Westlake,N,N,Los Angeles,90077-3525,
School,Harvard-Westlake,N,N,Studio City,91604-2301,
School,Hawthorne Academy,N,N,Hawthorne,90250-1953,
School,Helen Bernstein High,N,Y,Hollywood,90028-8526,
School,Henry David Thoreau Continuation,N,Y,Woodland Hills,91364-2528,
School,Heritage Christian School,N,N,Northridge,91343-1905,
School,Heritage Christian School,N,N,Granada Hills,91344-3399,
School,High Tech LA,Y,Y,Lake Balboa,91406-5455,
School,Highland Hall Waldorf School,N,N,Northridge,91325-1911,
School,Highland Park Continuation,N,Y,Los Angeles,90042-2418,
School,"Hilda L. Solis Learning Academy School of Technology, Business and Education",N,Y,Los Angeles,90022-1422,
School,Hollywood Senior High,N,Y,Los Angeles,90028-7001,
School,Holy Martyrs Armenian High School–Ferrahian,N,N,Encino,91316-2459,
School,Horace Mann UCLA Community,N,Y,Los Angeles,90047-1833,
School,Houseton Academy of Secondary Education,N,N,Information Redacted,Information Redacted,
School,Humanitas Academy of Art and Technology at Esteban E. Torres High No. 4,N,Y,Los Angeles,90063-3422,
School,Humanities and Arts (HARTS) Academy of Los Angeles,N,Y,Harbor City,90710-1742,
School,Huntington Park Senior High,N,Y,Huntington Park,90255-3109,
School,ICEF View Park Preparatory High,Y,Y,Los Angeles,90043-2409,
School,ICL Academy,N,N,Los Angeles,90019-3451,
School,Immaculate Heart High School and Middle School,N,N,Los Angeles,90028-5901,
School,Independence Continuation,N,Y,Lake Balboa,91406-5526,
School,Interamerican Adult School,N,N,Los Angeles,90044-5105,
School,International Studies Learning Center at Legacy High School Complex,N,Y,South Gate,90280-5332,
School,Iovine and Young Center,N,Y,Los Angeles,90008-3712,
School,Ivy Academia,Y,Y,Woodland Hills,91367-3329,
School,Ivy League Royal Academy,N,N,Los Angeles,90068-1450,
School,Ivy League Royal Academy,N,N,Encino,91316-1508,
School,Ivy Road School,N,N,Los Angeles,90005-1236,
School,J J Academy,N,N,Sherman Oaks,91403-2007,
School,J.C. Academy,N,N,Reseda Blvd,91335,
School,Jack London Continuation,N,Y,Van Nuys,91401-4104,
School,James A. Garfield Senior High,N,Y,Los Angeles,90022-3209,
School,James Monroe High,N,Y,North Hills,91343-3114,
School,Jane Addams Continuation,N,Y,Granada Hills,91344-3773,
School,Jennifer Kelley,N,N,Gardena,90248-3510,
School,JETS Yeshivah,N,N,Granada Hills,91344-3632,
School,John C. Fremont Senior High,N,Y,Los Angeles,90003-2348,
School,John F. Kennedy High,N,Y,Granada Hills,91344-3709,
School,John H. Francis Polytechnic,N,Y,Sun Valley,91352-3723,
School,John Hope Continuation,N,Y,Los Angeles,90003-2632,
School,John Marshall Senior High,N,Y,Los Angeles,90027-3207,
School,John R. Wooden High,N,Y,Reseda,91335-1802,
School,John Tracy Clinic,N,N,Los Angeles,90007-2505,
School,Jordan High,N,Y,Los Angeles,90002-3132,
School,Junipero Serra High School,N,N,Gardena,90249-3718,
School,Kids'  World School,N,N,Los Angeles,90065-3704,
School,King/Drew Medical Magnet High,N,Y,Los Angeles,90059-3025,
School,Lake Balboa College Preparatory Magnet K-12,N,Y,Lake Balboa,91406-5531,
School,Larchmont Charter,Y,Y,West Hollywood,90046-5205,
School,Laurel Elementary,N,Y,Los Angeles,90046-7154,
School,Le Lycee Francais de Los Angeles-Elementary and Middle,N,N,Los Angeles,90034-3589,
School,Le Lycee Francais de Los Angeles-High,N,N,Los Angeles,90034-3703,
School,Leadership & Public Service Virtual Academy,N,Y,Los Angeles,90007-2137,
School,Legacy Academy,N,N,Sherman Oaks,91403-1711,
School,Linda Esperanza Marquez High A Huntington Park Institute of Applied Medicine,N,Y,Huntington Park,90255-3521,
School,Linda Esperanza Marquez High B LIBRA Academy,N,Y,Huntington Park,90255-3521,
School,Linda Esperanza Marquez High C School of Social Justice,N,Y,Huntington Park,90255-3521,
School,Little Citizens Westside Academy #1,N,N,Los Angeles,90062-1645,
School,Lomita Math/Science/Technology Magnet,N,Y,Lomita,90717-1503,
School,Los Angeles Academy of Arts and Enterprise,Y,Y,Los Angeles,90026-5816,
School,Los Angeles Center for Enriched Studies,N,Y,Los Angeles,90035-4656,
School,Los Angeles High School of the Arts,N,Y,Los Angeles,90005-1943,
School,Los Angeles Leadership Academy,Y,Y,Los Angeles,90031-1937,
School,Los Angeles Senior High,N,Y,Los Angeles,90019-1831,
School,Louisville High School,N,N,Woodland Hills,91364-4933,
School,Loyola High School of Los Angeles,N,N,Los Angeles,90006-4401,
School,Luther Burbank Middle,N,Y,Los Angeles,90042-2803,
School,Machon,N,N,Los Angeles,90036-4657,
School,Magnolia Science Academy 4,Y,Y,Los Angeles,90064,
School,Manual Arts Senior High,N,Y,Los Angeles,90037-1918,
School,Manzanita School and Institute,N,N,Topanga,90290-3934,
School,Marlborough School,N,N,Los Angeles,90004-3739,
School,Mary Star of the Sea High School,N,N,San Pedro,90731-1148,
School,Marymount High School,N,N,Los Angeles,90077-3623,
School,Math and Science College Preparatory,Y,Y,Los Angeles,90018-1832,
School,"Math, Science, & Technology Magnet Academy at Roosevelt High",N,Y,Los Angeles,90033-4326,
School,Matrix for Success Academy,Y,Y,Los Angeles,90011-2527,
School,Maywood Academy High,N,Y,Maywood,90270-3110,
School,Maywood Center for Enriched Studies,N,Y,Maywood,90270-2928,
School,Mervyn M. Dymally High,N,Y,Los Angeles,90003-3541,
School,MESIVTA BIRKAS YITZCHOK,N,N,Los Angeles,90035-2677,
School,Metropolitan Continuation,N,Y,Los Angeles,90021-1625,
School,Mid-City's Prescott School of Enriched Sciences,N,Y,Los Angeles,90018-1828,
School,Middle College High,N,Y,Los Angeles,90047-4810,
School,Middlebrooks Academy,N,N,Alhambra,91803-3162,
School,Milken Community School,N,N,Los Angeles,90049-6861,
School,Mission Continuation,N,Y,San Fernando,91340-4424,
School,Moneta Continuation,N,Y,Gardena,90248-3442,
School,Monterey Continuation,N,Y,Los Angeles,90022-1929,
School,Morning Star Christian Academy,N,N,Van Nuys,91411-2613,
School,Mt. Lukens Continuation,N,Y,Tujunga,91042-1727,
School,Nathaniel Narbonne Senior High,N,Y,Harbor City,90710-1742,
School,Nava College Preparatory Academy,N,Y,Los Angeles,90011-3301,
School,New Covenant Academy,N,N,Los Angeles,90020-1701,
School,New Designs Charter,Y,Y,Los Angeles,90007-2504,
School,New Designs Charter School-Watts,Y,Y,Los Angeles,90061-2730,
School,New Life Christian Academy,N,N,Pacoima,91331-1384,
School,New Millennium Secondary,Y,Y,Gardena,90248-3322,
School,New Open World Academy K-12,N,Y,Los Angeles,90010-2171,
School,New Village Girls Academy,Y,Y,Los Angeles,90026-4601,
School,Nishiyamato Academy,N,N,Lomita,90717-1414,
School,North Hollywood Senior High,N,Y,North Hollywood,91601-3002,
School,North Valley Christian School,N,N,North Hills,91343-4910,
School,Northpoint School and Intensive Outpatient,N,N,Northridge,91325-2003,
School,Northridge Academy High,N,Y,Northridge,91325-2010,
School,Notre Dame Academy,N,N,Los Angeles,90064-4217,
School,Notre Dame High School,N,N,Sherman Oaks,91423-2407,
School,Oak Crest Academy Colburn,N,N,Los Angeles,90012-3007,
School,Oak Crest Academy Independent Studies,N,N,Pomona,91766-5805,
School,Oakwood Secondary,N,N,North Hollywood,91601-3015,
School,Odyssey Continuation,N,Y,South Gate,90280-2904,
School,Olive Tree Christian Academy,N,N,Los Angeles,90010-2207,
School,Olympus Academy,N,N,Los Angeles,90003-3606,
School,OneSchool Global - Los Angeles,N,N,Los Angeles,90045-3248,
School,Orange School,N,N,Los Angeles,90019-3451,
School,Orchard Academy,N,N,Los Angeles,90020-2102,
School,Orthopaedic Hospital,N,Y,Los Angeles,90007-2612,
School,Orville Wright Engineering and Design Magnet,N,Y,Los Angeles,90045-1127,
School,Oscar De La Hoya Animo Charter High,Y,Y,Los Angeles,90023-2915,
School,Owensmouth Continuation,N,Y,Canoga Park,91303-1997,
