Record Type,School,Charter Yes/No,Public Yes/No,Street City,Street Zip,
School,Oakland Technical High,N,Y,Oakland,94611-4612,
School,Oakland Unity High,Y,Y,Oakland,94605-1544,
School,Patten Academy of Christian Education,N,N,Oakland,94601-2636,
School,Pentecostal Way of Truth School Academy,N,N,Oakland,94607-1966,
School,Ralph J. Bunche Continuation High,N,Y,Oakland,94607-2223,
School,Rudsdale Continuation High,N,Y,Oakland,94605-4109,
School,Skyline High,N,Y,Oakland,94619-2425,
School,St. Andrew M.B.C. Private P. C. P. C.,N,N,Oakland,94612,
School,Street Academy Alternative High,N,Y,Oakland,94609-3510,
School,The College Preparatory School,N,N,Oakland,94618,
School,Millennium High Alternative,N,Y,Piedmont,94611-4029,
School,Piedmont High,N,Y,Piedmont,94611-4029,
School,Amador Valley High,N,Y,Pleasanton,94566-6176,
School,Foothill High,N,Y,Pleasanton,94588-9799,
School,"Futures Academy, Pleasanton",N,N,Pleasanton,94588-2724,
School,Lighthouse Baptist School,N,N,Pleasanton,94588-7313,
School,The Pleasanton Virtual Academy,N,Y,Pleasanton,94566-7343,
School,Village High,N,Y,Pleasanton,94566-7449,
School,Lincoln High (Continuation),N,Y,San Leandro,94579-1222,
School,San Leandro High,N,Y,San Leandro,94577-6108,
School,San Leandro Virtual Academy,N,Y,San Leandro,94577-4340,
School,Arroyo High,N,Y,San Lorenzo,94580-1407,
School,East Bay Arts High,N,Y,San Lorenzo,94580-1732,
School,KIPP King Collegiate High,Y,Y,San Lorenzo,94580-1315,
School,Lighthouse Christian Academy,N,N,San Lorenzo,94580-1113,
School,Redwood Christian Middle School and High School,N,N,San Lorenzo,94580-2319,
School,Royal Sunset (Continuation),N,Y,Hayward,94541-4712,
School,San Lorenzo High,N,Y,San Lorenzo,94580-1732,
School,Seneca Family of Agencies - James Baldwin Academy,N,N,San Leandro,94578-1132,
School,Latitude 37.8 High,Y,Y,Oakland,94601-2212,
School,Amador High,N,Y,Sutter Creek,95685-9701,
School,Argonaut High,N,Y,Jackson,95642-2020,
School,Independence High (Continuation),N,Y,Sutter Creek,95685-9669,
School,North Star Academy,N,Y,Sutter Creek,95685-9669,
School,UNIVERSIDAD BIBLICA DE LAS AMERICAS,N,N,Amador City,95601,
School,Biggs High,N,Y,Biggs,95917-9732,
School,Achieve Charter High,N,Y,Chico,95926-1610,
School,Come Back Butte Charter,Y,Y,Oroville,95966,
School,CORE Butte Charter,Y,Y,Chico,95928-8319,
School,Hearthstone,Y,Y,Oroville,95965-3261,
School,Chico High,N,Y,Chico,95926-3908,
School,Fair View High (Continuation),N,Y,Chico,95926-1122,
School,Hooker Oak Elementary,N,Y,Chico,95926-3586,
School,Inspire School of Arts and Sciences,Y,Y,Chico,95926-3908,
School,Oak Bridge Academy,N,Y,Chico,95928-7332,
School,Oakdale,N,Y,Chico,95926-1122,
School,Paradise Adventist Academy,N,N,Paradise,95969-4702,
School,Pivot Charter School North Valley II,Y,Y,Chico,95928-7395,
School,Pleasant Valley Baptist Schools,N,N,Chico,95973-9259,
School,Pleasant Valley High,N,Y,Chico,95926-1699,
School,Sierra View Elementary,N,Y,Chico,95926-2961,
School,The Progressive Schoolhouse,N,N,Chico,95928-7136,
School,Zanella Academy,N,N,Chico,95973-8249,
School,Durham High,N,Y,Durham,95938-9426,
School,Esperanza High (Continuation),N,Y,Gridley,95948-2538,
School,Gridley High,N,Y,Gridley,95948-2235,
School,Ipakanni Early College Charter,Y,Y,Oroville,95966-8887,
School,Oroville Christian School,N,N,Oroville,95966-5522,
School,Sierra School of Butte County,N,N,Oroville,95966-5113,
School,Las Plumas High,N,Y,Oroville,95966-7305,
School,Oroville High,N,Y,Oroville,95966-5060,
School,Prospect High (Continuation),N,Y,Oroville,95965-3497,
School,Feather River Adventist,N,N,Oroville,95965-9660,
School,HomeTech Charter,Y,Y,Paradise,95969-4534,
School,Paradise eLearning Academy,N,Y,Paradise,95969-4023,
School,Paradise Senior High,N,Y,Paradise,95969-4023,
School,Ridgeview High (Continuation),N,Y,Paradise,95969-0640,
School,"Upward International Schools, Inc.",N,N,Magalia,95954-9446,
School,Bret Harte Union High,N,Y,Angels Camp,95221-0208,
School,Charity Crossroads Christian Academy,N,N,Mountain Ranch,95246-9776,
School,Vallecito Continuation High,N,Y,Altaville,95221,
School,Mountain Oaks,Y,Y,San Andreas,95249,
School,Calaveras High,N,Y,San Andreas,95249-0607,
School,Calaveras Unified Alternative-Sierra Hills Education Center,N,Y,San Andreas,95249-0178,
School,Gold Strike High,N,Y,San Andreas,95249,
