,School,Public Yes/No,Charter Yes/No,App,Adm,Median income (dollars),Total,none,high,higher,grad
49,Palo Verde High,1,0,6.0,4.0,43822,5788,0.03235238034704125,0.3448801881395792,0.1229263331850251,0.020275853301976735
50,Bonsall High,1,0,8.0,5.0,89201,1849,0.005795421616922631,0.18603303390321646,0.3028107794842075,0.165169516082295
51,Brawley Union High,1,0,19.0,12.0,47367,7325,0.044763676008465335,0.2612069518373629,0.19624190341820047,0.038991855319694735
52,Brea Olinda High,1,0,61.0,49.0,96700,13902,0.006279377203290247,0.18544359576968272,0.3683901292596945,0.16983695652173914
53,Heritage High,1,0,27.0,21.0,112302,21300,0.00867491290013328,0.22168962050178875,0.34248369069609746,0.11099679659550588
54,Liberty High,1,0,12.0,6.0,112302,21300,0.00867491290013328,0.22168962050178875,0.34248369069609746,0.11099679659550588
55,Burbank High,1,0,46.0,30.0,53580,5181,0.02814058418427927,0.18000474946568512,0.4014485870339587,0.1167181192115887
56,Burroughs High,1,0,35.0,16.0,85086,7544,0.02292910176153734,0.17608094336875818,0.4243703595865483,0.10649293929247343
57,Burlingame High,1,0,51.0,31.0,158316,15899,0.013492010873168469,0.09205728303387921,0.4113903069681098,0.3444606510641119
58,Calabasas High,1,0,38.0,26.0,149724,9949,0.002849002849002849,0.10105896898349728,0.4097188625490512,0.30247809493092515
59,Calexico High,1,0,45.0,30.0,42739,9362,0.058802352094083764,0.24408976359054363,0.23564942597703908,0.03624144965798632
60,Adolfo Camarillo High,1,0,37.0,26.0,106388,12797,0.0049005357365339095,0.16462477677644421,0.408239544831596,0.17355371900826447
61,Rancho Campana High,1,0,16.0,13.0,95836,15705,0.009180969207470975,0.17017920242301868,0.3592251388187784,0.15109162039374052
62,Westmont High,1,0,34.0,20.0,121231,18038,0.012997051329764392,0.1696773639460651,0.41101027740402507,0.20483238384243221
63,Canyon High,1,0,20.0,13.0,85755,9613,0.015071956437183976,0.2651205756514975,0.2920070011668611,0.07827693504472967
64,Carlsbad High,1,0,27.0,20.0,86046,11340,0.0049,0.148,0.41225,0.22205
65,Sage Creek High,1,0,36.0,26.0,102793,6064,0.027246925260170293,0.12488174077578051,0.41248817407757804,0.2076631977294229
66,Academy of Medical Arts at Carson High,1,0,23.0,15.0,86981,14495,0.0433266017991555,0.24931154764090324,0.29266437619659574,0.057777544651053
68,Castro Valley High,1,0,76.0,48.0,101445,15922,0.02244662084068374,0.21500699555934058,0.3520895431595596,0.14015451061500092
69,North Monterey County High,1,0,7.0,5.0,69528,2359,0.09304738844690419,0.2416118989968869,0.13161535800760982,0.025077827741265997
70,Cathedral City High,1,0,50.0,33.0,50350,19716,0.039168937329700275,0.31877488996017606,0.22387864179417313,0.08811045902326556
71,Central Valley High,1,0,5.0,3.0,61287,12681,0.04367930568400085,0.39350501529487086,0.13487941950629578,0.01913637333712741
72,Ceres High,1,0,9.0,4.0,61287,12681,0.04367930568400085,0.39350501529487086,0.13487941950629578,0.01913637333712741
73,Cerritos High,1,0,137.0,88.0,108844,15496,0.017876237216571163,0.15118032517204508,0.43563732075782086,0.18476681380747403
74,Gahr (Richard) High,1,0,51.0,27.0,108844,15496,0.017876237216571163,0.15118032517204508,0.43563732075782086,0.18476681380747403
75,Whitney (Gretchen) High,1,0,66.0,57.0,108844,15496,0.017876237216571163,0.15118032517204508,0.43563732075782086,0.18476681380747403
76,Chatsworth Charter High,1,1,27.0,19.0,96432,14281,0.014166363966581911,0.20879701482680052,0.3712644057722154,0.1457253244394545
77,Chino High,1,0,44.0,30.0,86702,23292,0.019386615052951264,0.2793277628286834,0.25455947379187716,0.06245574281263277
78,Don Antonio Lugo High,1,0,41.0,21.0,86702,23292,0.019386615052951264,0.2793277628286834,0.25455947379187716,0.06245574281263277
79,Chino Hills High,1,0,165.0,133.0,104661,25874,0.011750066660741267,0.17680206203892987,0.42008710336858945,0.1637721091458537
80,Ruben S. Ayala High,1,0,176.0,143.0,104661,25874,0.011750066660741267,0.17680206203892987,0.42008710336858945,0.1637721091458537
81,Bonita Vista Senior High,1,0,34.0,23.0,113415,14899,0.03556472658857802,0.1901438368635067,0.38675122898585906,0.12687382411846818
82,Chula Vista Senior High,1,0,30.0,19.0,65074,25145,0.028334427001833997,0.3098615247421466,0.20505443103999463,0.05030875103057224
83,Eastlake High,1,0,50.0,33.0,125864,9062,0.007139713433419727,0.15726930412245096,0.44276003716563156,0.13428529512445597
84,Hilltop Senior High,1,0,24.0,14.0,70283,24599,0.021620664555094333,0.2570085184237965,0.26735653439830026,0.08121028506226516
85,Olympian High,1,0,55.0,35.0,113415,14899,0.03556472658857802,0.1901438368635067,0.38675122898585906,0.12687382411846818
86,Otay Ranch Senior High,1,0,54.0,34.0,113415,14899,0.03556472658857802,0.1901438368635067,0.38675122898585906,0.12687382411846818
87,William Workman High,1,0,29.0,14.0,74100,18821,0.05719924675889042,0.35664880133265736,0.15577243427247048,0.025657275295140145
88,Claremont High,1,0,77.0,58.0,100598,12211,0.010027043894320782,0.126190971499896,0.34674433118369047,0.3021427085500312
89,Clovis East High,1,0,11.0,9.0,98228,15819,0.014374233321800396,0.211367282106124,0.3418047997986978,0.132481992891517
90,Clovis High,1,0,11.0,5.0,98228,15819,0.014374233321800396,0.211367282106124,0.3418047997986978,0.132481992891517
91,Buchanan High,1,0,24.0,19.0,98228,15819,0.014374233321800396,0.211367282106124,0.3418047997986978,0.132481992891517
92,NOVA Academy - Coachella,1,1,13.0,8.0,34269,17685,0.04238714613618975,0.46081101759755166,0.04459066564651874,0.011660290742157613
93,Colton High,1,0,52.0,24.0,58589,18047,0.027929408023742646,0.3234405638878584,0.19169007366580104,0.0736393025597541
94,Compton Early College High,1,0,37.0,21.0,57101,8439,0.06017725853560278,0.3497834625843489,0.1192970087622117,0.02593413233961124
95,Compton High,1,0,68.0,38.0,53683,12074,0.0650810245687402,0.3355658651332985,0.09690277051751175,0.01052012545739676
96,Clayton Valley Charter High,1,1,27.0,21.0,104141,15977,0.007617884349586963,0.1965864163800585,0.4020442930153322,0.13284690302465366
97,Concord High,1,0,4.0,3.0,104141,15977,0.007617884349586963,0.1965864163800585,0.4020442930153322,0.13284690302465366
98,Centennial High,1,0,155.0,108.0,119023,9318,0.011606036974173128,0.22601954218083398,0.32157438414606176,0.1270700490848204
99,Corona High,1,0,86.0,50.0,85819,20790,0.020902434445209336,0.29499134280409706,0.28088950080313746,0.07476479546070884
100,Santiago High,1,0,192.0,141.0,119023,9318,0.011606036974173128,0.22601954218083398,0.32157438414606176,0.1270700490848204
101,Coronado High,1,0,15.0,8.0,108992,8672,0.005427491157458227,0.0889132821075741,0.40992804000487865,0.3212586900841566
