,School,Public Yes/No,Charter Yes/No,App,Adm,Median income (dollars),Total,none,high,higher,grad
429,Montclair High,1,0,39.0,5.0,63529,10451,0.05133419097813006,0.289994605137569,0.18786570942440967,0.061667427480599245
430,Applied Technology Center,1,0,22.0,3.0,62521,18937,0.0367667372686251,0.3224974675384474,0.2185514319918961,0.05329680449396814
431,Montebello High,1,0,32.0,10.0,62521,18937,0.0367667372686251,0.3224974675384474,0.2185514319918961,0.05329680449396814
432,Schurr High,1,0,42.0,9.0,62521,18937,0.0367667372686251,0.3224974675384474,0.2185514319918961,0.05329680449396814
433,Monterey High,1,0,36.0,8.0,85765,13947,0.007966299632966299,0.12012012012012012,0.39447781114447783,0.2485402068735402
434,Moorpark High,1,0,5.0,,119139,12064,0.01518288474810214,0.1677785445901388,0.40238478644275744,0.1545126907445748
435,Moorpark High,1,0,41.0,14.0,119139,12064,0.01518288474810214,0.1677785445901388,0.40238478644275744,0.1545126907445748
436,Campolindo High,1,0,110.0,12.0,152965,5623,0.000380191996958464,0.06558311947533504,0.4563254443493964,0.3616576371067389
437,Canyon Springs High,1,0,30.0,4.0,76174,14135,0.028311248613624423,0.33007413460977175,0.22126554199988324,0.06762594127604926
438,Moreno Valley High,1,0,27.0,4.0,54234,18513,0.045761915942709556,0.3413007748297722,0.15970885184315567,0.03437426625968537
439,Rancho Verde High,1,0,45.0,11.0,71947,7743,0.05115551863976157,0.3692285141935799,0.1575707236038501,0.046660477842380414
440,Valley View High,1,0,45.0,7.0,91839,11380,0.021506500749416152,0.27083551186866045,0.23723378298302486,0.08728083934609084
441,Vista del Lago High,1,0,19.0,4.0,71947,7743,0.05115551863976157,0.3692285141935799,0.1575707236038501,0.046660477842380414
442,Ann Sobrato High,1,0,60.0,10.0,128381,16586,0.018041753773017553,0.19963343738365932,0.38620808156018216,0.13244938285747015
443,Live Oak High,1,0,32.0,6.0,128381,16586,0.018041753773017553,0.19963343738365932,0.38620808156018216,0.13244938285747015
444,Mount Shasta High,1,0,6.0,3.0,49324,3602,0.010649627263045794,0.1906283280085197,0.33457578984735536,0.11253106141285055
445,Mountain House High,1,0,86.0,16.0,160902,5328,0.01772364552708946,0.126417471650567,0.3732885342293154,0.18210835783284335
446,Mountain View High,1,0,151.0,32.0,139717,14408,0.00741821719567068,0.07296607077708865,0.33231991568365155,0.44233653573310633
447,Vista Murrieta High,1,0,56.0,5.0,96604,18869,0.012617641631297288,0.25106108138032845,0.3106200405978963,0.09208341022328843
448,Napa High,1,0,39.0,6.0,97759,24027,0.030747319034852547,0.20664376675603216,0.32781082439678283,0.1296707439678284
449,New Technology High,1,0,8.0,,76960,9943,0.026947831092041234,0.20019883836533933,0.31050180524305376,0.12123907697137774
450,Vintage High,1,0,53.0,8.0,97759,24027,0.030747319034852547,0.20664376675603216,0.32781082439678283,0.1296707439678284
451,Sweetwater High,1,0,34.0,11.0,48359,17392,0.02847338833321165,0.32121389111970994,0.19162346985957995,0.03991141612518556
452,Newark Memorial High,1,0,60.0,6.0,127619,14356,0.01567298221217915,0.2944550669216061,0.2897618633756301,0.14774900052146706
453,Newbury Park High,1,0,88.0,26.0,125093,14893,0.0072995144818349235,0.1396618114850159,0.4142976728612088,0.21737820190858864
454,William S. Hart High,1,0,47.0,6.0,74986,10804,0.028381104282966647,0.24867476661819204,0.26818970774499223,0.09959187502931932
455,Orestimba High,1,0,23.0,8.0,64036,4121,0.029683753853179586,0.33873729877839936,0.19625528028313735,0.01918027172051604
456,Corona del Mar High,1,0,120.0,18.0,135373,15368,0.006234273481804184,0.06962857250159613,0.48236752168851166,0.28181920606902766
457,Newport Harbor High,1,0,84.0,6.0,106209,10574,0.0012423031219617588,0.0909041806200713,0.47423571351409743,0.21259587339310793
458,Nipomo High,1,0,8.0,,93603,7397,0.02254667614186963,0.24523548032818657,0.2989857225918987,0.1310162155177983
459,James Monroe High,1,0,32.0,10.0,67043,17977,0.034358788756182895,0.28512486427795874,0.2706961032693932,0.07207141995415611
460,Valor Academy High,1,1,4.0,,67043,17977,0.034358788756182895,0.28512486427795874,0.2706961032693932,0.07207141995415611
461,North Hollywood Senior High,1,0,81.0,21.0,57411,17004,0.024924498781064657,0.16326456354837535,0.44845904741112685,0.0877997307426409
462,John H. Glenn High,1,0,14.0,4.0,77425,26748,0.061242908715832906,0.32721620537505014,0.23047389834393445,0.04610050999942697
463,Norwalk High,1,0,38.0,8.0,77425,26748,0.061242908715832906,0.32721620537505014,0.23047389834393445,0.04610050999942697
