,School,Public Yes/No,Charter Yes/No,App,Adm,Median income (dollars),Total,none,high,higher,grad
855,Army and Navy Academy,0,0,21.0,6.0,86046,11340,0.0049,0.148,0.41225,0.22205
856,Pacific Ridge School,0,0,33.0,16.0,138138,16258,0.014002478314745973,0.08785625774473359,0.42326517967781907,0.2681536555142503
857,Jesuit High School,0,0,69.0,17.0,67766,25581,0.014043274416147564,0.2415311131165944,0.31311219211551583,0.13655873742598665
858,Valley Christian High School,0,0,23.0,5.0,108844,15496,0.017876237216571163,0.15118032517204508,0.43563732075782086,0.18476681380747403
859,Mater Dei Catholic High School,0,0,98.0,42.0,113415,14899,0.03556472658857802,0.1901438368635067,0.38675122898585906,0.12687382411846818
860,The Webb Schools,0,0,42.0,12.0,100598,12211,0.010027043894320782,0.126190971499896,0.34674433118369047,0.3021427085500312
861,Carondelet High School,0,0,61.0,13.0,95961,10548,0.014802395209580838,0.17576047904191616,0.3946347305389222,0.14883832335329342
862,De La Salle High School of Concord,0,0,43.0,11.0,95961,10548,0.014802395209580838,0.17576047904191616,0.3946347305389222,0.14883832335329342
863,The Athenian School,0,0,38.0,8.0,200726,9274,0.0039759295078444015,0.08419299376746185,0.48071136900924133,0.2956157317859445
864,St. Pius X St. Matthias Academy,0,0,23.0,8.0,73037,12522,0.04012713547874454,0.2909668797630657,0.25871347563838626,0.06266478852891248
865,Eastside College Preparatory School,0,0,10.0,3.0,120754,14360,0.031604487017897656,0.17582556087723722,0.23481220065540712,0.289671036047391
866,Foothills Christian High School,0,0,5.0,3.0,61830,19032,0.041647361647361644,0.2730759330759331,0.24702702702702703,0.08308880308880309
867,Vistamar School,0,0,30.0,4.0,115846,6645,0.006639004149377593,0.1249792531120332,0.4004149377593361,0.2191701244813278
868,Pacific Academy,0,0,3.0,,125458,19371,0.009749488616741492,0.10365805063358394,0.4451026751321627,0.2583216002975321
869,Crespi Carmelite High School,0,0,44.0,10.0,76088,12815,0.014033241240187695,0.17699425514186728,0.3803446914879621,0.1956321536639916
870,Holy Martyrs Armenian High School–Ferrahian,0,0,21.0,10.0,76088,12815,0.014033241240187695,0.17699425514186728,0.3803446914879621,0.1956321536639916
871,Balboa School,0,0,4.0,,56866,16325,0.03411359099981855,0.25576120486300125,0.2251255065626323,0.08994132946228754
872,Escondido Adventist Academy,0,0,6.0,3.0,76534,17645,0.030450635219050875,0.2234375890161226,0.26394348544408364,0.11693157864752464
873,Fremont Christian School,0,0,31.0,13.0,132568,24879,0.01740765109502773,0.1922361124165805,0.3811636431995488,0.22494595356706457
874,Fresno Christian Schools,0,0,4.0,,91096,17935,0.009933370010391834,0.14600525704505166,0.3868818387431995,0.20166269331866252
875,Eastside Christian School,0,0,4.0,,88725,16266,0.020870337477797513,0.22174733570159857,0.36767317939609234,0.1434003108348135
876,Rosary Academy,0,0,25.0,4.0,80279,11968,0.01651871510936213,0.182987096183765,0.3510570147341448,0.16280772398645557
877,Orangewood Academy,0,0,23.0,,70680,11730,0.06842740811840109,0.32343561321484965,0.1988419977087655,0.03935350032510759
878,Junipero Serra High School,0,0,25.0,10.0,65397,8731,0.039307840205084384,0.2667699209570605,0.2663426618243965,0.06254005554368725
879,St. Lucy's Priory High School,0,0,25.0,6.0,108750,8688,0.008206457186049022,0.19706295216499298,0.3753914264118346,0.18469927653601123
880,California Crosspoint Academy,0,0,50.0,6.0,88764,9668,0.029421570261710286,0.2820470078346391,0.31463577262877146,0.0848058009668278
881,Moreau Catholic High School,0,0,84.0,15.0,89657,22482,0.035299599291771504,0.3348802534712515,0.24890504146864226,0.057124219550834035
882,Idyllwild Arts Academy,0,0,19.0,4.0,79276,1295,0.003989361702127659,0.29343971631205673,0.33156028368794327,0.13430851063829788
883,St. Mary's Academy,0,0,10.0,3.0,51498,12254,0.05301455301455302,0.2717332717332717,0.19003619003619004,0.04115654115654116
