,School,Public Yes/No,Charter Yes/No,App,Adm,Median income (dollars),Total,none,high,higher,grad
0,Adelanto High,1,0,24.0,3.0,61872,15607,0.014524414004841472,0.35280746295093585,0.17441105272480367,0.02698234634232745
1,Alameda Community Learning Center,1,1,16.0,,96014,25477,0.019494569669978784,0.15013759636997667,0.39337856857761067,0.2186416822469172
2,Alameda High,1,0,137.0,11.0,96014,25477,0.019494569669978784,0.15013759636997667,0.39337856857761067,0.2186416822469172
3,Encinal Junior/Senior High,1,0,58.0,3.0,96014,25477,0.019494569669978784,0.15013759636997667,0.39337856857761067,0.2186416822469172
4,Albany High,1,0,112.0,10.0,107669,8129,0.007413897688211902,0.08755139179079328,0.37453663139448673,0.4078991709914403
5,Alhambra High,1,0,158.0,12.0,66804,20142,0.04451997011111915,0.24940342757972378,0.32860896184346905,0.12558150746016825
6,Mark Keppel High,1,0,184.0,20.0,66804,20142,0.04451997011111915,0.24940342757972378,0.32860896184346905,0.12558150746016825
7,Aliso Niguel High,1,0,186.0,19.0,116350,19235,0.009813150763086578,0.1194408786193125,0.4353159321066895,0.20861503351875624
8,Alta Loma High,1,0,72.0,6.0,100653,13347,0.014295774647887324,0.22140845070422535,0.3348239436619718,0.1269718309859155
9,American Canyon High,1,0,48.0,,108638,5147,0.03794539565016196,0.2217337652321456,0.33109671448403516,0.08074965293845442
10,Anaheim High,1,0,77.0,6.0,71253,20112,0.05204044236531787,0.2702912453920279,0.22060059930584,0.06488886972643197
11,Canyon High,1,0,157.0,17.0,120435,12460,0.009049946540400183,0.18729952650068735,0.36593096074537956,0.16538109057583625
12,Esperanza High,1,0,57.0,3.0,120435,12460,0.009049946540400183,0.18729952650068735,0.36593096074537956,0.16538109057583625
13,Katella High,1,0,73.0,10.0,77570,12501,0.024286448015261575,0.2837332159366058,0.27874385501504145,0.07685817007850906
14,Loara High,1,0,65.0,5.0,66936,24772,0.0518479623293472,0.31874385988685255,0.2540567092381178,0.04820624004878214
15,Magnolia High,1,0,36.0,,66936,24772,0.0518479623293472,0.31874385988685255,0.2540567092381178,0.04820624004878214
16,Savanna High,1,0,53.0,3.0,65683,18240,0.039406067208184334,0.3098728301797428,0.21114452838231462,0.05074952044900182
17,Western High,1,0,40.0,,66936,24772,0.0518479623293472,0.31874385988685255,0.2540567092381178,0.04820624004878214
18,Antelope High,1,0,53.0,3.0,82000,14602,0.026930977144533925,0.32600828143849236,0.29154575983828374,0.05960027387434384
19,Center High,1,0,11.0,,82000,14602,0.026930977144533925,0.32600828143849236,0.29154575983828374,0.05960027387434384
20,Deer Valley High,1,0,43.0,,104275,12049,0.02638888888888889,0.24711538461538463,0.33600427350427353,0.08173076923076923
21,Dozier-Libbey Medical High,1,0,19.0,,104275,12049,0.02638888888888889,0.24711538461538463,0.33600427350427353,0.08173076923076923
22,Apple Valley High,1,0,37.0,4.0,54738,13753,0.025897521396020896,0.3453743840539439,0.19391649068207922,0.06172427846319144
23,Granite Hills High,1,0,34.0,4.0,59084,12946,0.01963758282110641,0.3240999441206993,0.24024107926877944,0.07587610760756765
24,Aptos High,1,0,32.0,4.0,115633,10028,0.01429264872444852,0.11876382072164392,0.3849306941373173,0.24550995091958364
25,Arcadia High,1,0,391.0,35.0,84833,11763,0.027239829800771463,0.18169165307989024,0.44263729271881336,0.1810951604565157
26,Arcata High,1,0,16.0,,42636,8149,0.009024672959099188,0.15888392117900316,0.4113263785394933,0.17386984600099353
27,Northcoast Preparatory and Performing Arts Academy,1,1,12.0,3.0,42636,8149,0.009024672959099188,0.15888392117900316,0.4113263785394933,0.17386984600099353
28,Arleta High,1,0,36.0,3.0,64375,23398,0.0752722037253667,0.3225501664716998,0.12549866522691142,0.02248117819970605
29,Arroyo Grande High,1,0,65.0,7.0,91211,11496,0.006323737612081171,0.21798017932987257,0.3626710712600283,0.13874469089193014
30,Arvin High,1,0,34.0,4.0,40045,5077,0.10514122783569456,0.2659716653301256,0.05346164127238706,0.007751937984496124
31,Atascadero High,1,0,14.0,3.0,81599,12956,0.005596229908272321,0.2544391147016747,0.3150719515273921,0.10325675334511487
32,Menlo-Atherton High,1,0,159.0,10.0,169352,15194,0.010299847535151618,0.0997797729967813,0.3157038793833644,0.42547857021853297
33,Atwater High,1,0,19.0,3.0,60993,12719,0.039184027094081045,0.28484227936832984,0.20147284684755642,0.04241326349781436
34,Buhach Colony High,1,0,30.0,3.0,60993,12719,0.039184027094081045,0.28484227936832984,0.20147284684755642,0.04241326349781436
35,Avenal High,1,0,19.0,3.0,49781,2752,0.04211332312404288,0.25280755487493617,0.07491066870852475,0.021184277692700357
36,Azusa High,1,0,36.0,6.0,68058,15994,0.036778949634093845,0.2962225570383125,0.23052087817477399,0.08569199311235472
37,Centennial High,1,0,39.0,4.0,97615,18584,0.009698697523617865,0.22701101235396054,0.3200290681424339,0.10976018782492034
38,East Bakersfield High,1,0,34.0,3.0,54450,21974,0.03781454511936584,0.3097750944787538,0.18566227302055488,0.06936123144990322
39,Foothill High,1,0,22.0,3.0,54450,21974,0.03781454511936584,0.3097750944787538,0.18566227302055488,0.06936123144990322
40,Frontier High,1,0,38.0,7.0,110877,9909,0.009960259570400925,0.196539061320992,0.3080134815634589,0.14482619850093062
41,Golden Valley High,1,0,28.0,,42128,22422,0.06982031215844008,0.3680103178419971,0.10713505005902155,0.011891750098369257
42,Highland High,1,0,33.0,5.0,54450,21974,0.03781454511936584,0.3097750944787538,0.18566227302055488,0.06936123144990322
