,School,Public Yes/No,Charter Yes/No,App,Adm,Median income (dollars),Total,none,high,higher,grad
225,Tahquitz High,1,0,32.0,10.0,48052,14828,0.027099082073434127,0.35323299136069114,0.19225836933045357,0.06260124190064795
226,West Valley High,1,0,37.0,11.0,48052,14828,0.027099082073434127,0.35323299136069114,0.19225836933045357,0.06260124190064795
227,Western Center Academy,1,1,28.0,5.0,38686,12546,0.03604358759430008,0.31634534786253143,0.16580050293378037,0.02774518021793797
228,Hercules High,1,0,44.0,6.0,110669,8980,0.022606946209233376,0.1848792884371029,0.3923655230834392,0.14776577721304532
229,Hesperia High,1,0,37.0,10.0,51712,24572,0.02290601651592607,0.41561148250098306,0.14380652772316163,0.030003932363350375
230,Sultana High,1,0,22.0,4.0,51712,24572,0.02290601651592607,0.41561148250098306,0.14380652772316163,0.030003932363350375
231,Helen Bernstein High,1,0,12.0,,50253,17114,0.037035580892471005,0.1691763318262237,0.4253194417141734,0.13162964419107528
232,Holtville High,1,0,14.0,10.0,49637,2180,0.03414351851851852,0.3121141975308642,0.11940586419753087,0.044174382716049385
233,Edison High,1,0,71.0,24.0,102473,21789,0.013045125242672475,0.17264075003551305,0.3859084236943037,0.169610303518159
234,Huntington Beach High,1,0,136.0,40.0,97470,19407,0.01955777377981545,0.17686147060530438,0.37159770181649354,0.17509140502582554
235,Marina High,1,0,140.0,33.0,101466,14560,0.01422045387562629,0.14680960801650456,0.41298261125847335,0.18136604774535808
236,Ocean View High,1,0,58.0,17.0,91331,21520,0.02669153885127355,0.21330201280456912,0.3328266777209709,0.13244438303164294
237,Alliance Collins Family College-Ready High,1,1,50.0,31.0,49366,18523,0.06870794224612906,0.29295063045798037,0.1027461399420719,0.015614451534223306
238,Alliance Margaret M. Bloomfield Technology Academy High,1,1,51.0,,49366,18523,0.06870794224612906,0.29295063045798037,0.1027461399420719,0.015614451534223306
239,Aspire Ollin University Preparatory Academy,1,1,26.0,,49366,18523,0.06870794224612906,0.29295063045798037,0.1027461399420719,0.015614451534223306
240,Aspire Pacific Academy,1,1,27.0,10.0,49366,18523,0.06870794224612906,0.29295063045798037,0.1027461399420719,0.015614451534223306
241,Huntington Park Senior High,1,0,40.0,15.0,49366,18523,0.06870794224612906,0.29295063045798037,0.1027461399420719,0.015614451534223306
242,Huntington Park Senior High,1,0,80.0,54.0,49366,18523,0.06870794224612906,0.29295063045798037,0.1027461399420719,0.015614451534223306
243,Linda Esperanza Marquez High B LIBRA Academy,1,0,43.0,23.0,49366,18523,0.06870794224612906,0.29295063045798037,0.1027461399420719,0.015614451534223306
244,Linda Esperanza Marquez High A Huntington Park Institute of Applied Medicine,1,0,16.0,6.0,49366,18523,0.06870794224612906,0.29295063045798037,0.1027461399420719,0.015614451534223306
245,Imperial High,1,0,30.0,6.0,82394,5271,0.011357340720221607,0.3136426592797784,0.15429362880886427,0.05921052631578947
246,Indio High,1,0,63.0,26.0,44215,24793,0.029161847139425216,0.4094892784055521,0.1368449150280274,0.04715722039327342
247,Shadow Hills High,1,0,46.0,14.0,44215,24793,0.029161847139425216,0.4094892784055521,0.1368449150280274,0.04715722039327342
248,Animo City of Champions Charter High,1,1,12.0,,88910,5927,0.028489326765188835,0.2482758620689655,0.2827586206896552,0.16009852216748768
249,Animo Inglewood Charter High,1,1,58.0,33.0,88910,5927,0.028489326765188835,0.2482758620689655,0.2827586206896552,0.16009852216748768
250,Animo Leadership High,1,1,48.0,34.0,51498,12254,0.05301455301455302,0.2717332717332717,0.19003619003619004,0.04115654115654116
251,Inglewood High,1,0,27.0,12.0,51498,12254,0.05301455301455302,0.2717332717332717,0.19003619003619004,0.04115654115654116
252,Morningside High,1,0,17.0,5.0,62826,7027,0.06081123837246093,0.3091818009238752,0.18167436562677972,0.047396064038473705
253,Arnold O. Beckman High,1,0,342.0,191.0,101459,7878,0.015947936780376173,0.06114567689337052,0.3981262962168347,0.35664735750554244
254,Irvine High,1,0,206.0,88.0,112543,9547,0.024702842377260982,0.10372093023255814,0.4337984496124031,0.25689922480620153
255,Northwood High,1,0,268.0,129.0,116650,17026,0.018593840790238233,0.096363803174409,0.45405058258662345,0.30762408636349736
256,Portola High,1,0,270.0,147.0,112054,20645,0.0034146081203649363,0.09488875846982874,0.4698020594355226,0.2905084564904231
257,University High,1,0,266.0,134.0,74672,12571,0.009187570971404976,0.09001754929286673,0.47574068339011044,0.2794466811190255
258,Woodbridge High,1,0,239.0,54.0,112543,9547,0.024702842377260982,0.10372093023255814,0.4337984496124031,0.25689922480620153
259,Rubidoux High,1,0,42.0,23.0,76568,18757,0.05063568174131036,0.3477646684307913,0.1565627424842323,0.04297566701816518
