,School,Public Yes/No,Charter Yes/No,App,Adm,Median income (dollars),Total,none,high,higher,grad
656,Leroy Greene Academy,1,1,11.0,6.0,69798,15179,0.025449101796407185,0.250561377245509,0.30969311377245506,0.10662425149700598
657,Luther Burbank High,1,0,64.0,40.0,50832,23538,0.05863061105410354,0.33864509768415124,0.18957365042956884,0.03917426208728195
658,SAVA - Sacramento Academic and Vocational Academy - SCUSD,1,1,6.0,4.0,55003,13187,0.04666639777356512,0.2757633202920179,0.2298632678578631,0.08631468559674102
659,Mira Loma High,1,0,110.0,45.0,47056,15470,0.016254141492886377,0.28758526603001366,0.2917559929838238,0.10602221789124927
660,Natomas Charter,1,1,27.0,10.0,104404,13900,0.023622331217541835,0.15861223312175418,0.4083597807270629,0.20091604154645124
661,Natomas High,1,0,30.0,4.0,77404,10771,0.03232382061735585,0.22364589400116483,0.3137740244612697,0.12274315666860804
662,Natomas Pacific Pathways Prep,1,1,53.0,19.0,77404,10771,0.03232382061735585,0.22364589400116483,0.3137740244612697,0.12274315666860804
663,Rio Americano High,1,0,83.0,27.0,107115,9767,0.010249803965497928,0.14181695978492215,0.3920129942869945,0.262294163772824
664,Rosemont High,1,0,37.0,12.0,63936,7335,0.027844693212413205,0.2887912710783619,0.2717868782768882,0.06121581408530537
665,Sacramento Charter High,1,1,31.0,6.0,55003,13187,0.04666639777356512,0.2757633202920179,0.2298632678578631,0.08631468559674102
666,School of Engineering & Sciences,1,0,9.0,,81626,18496,0.01607817426867722,0.13739814554650182,0.4201554743841903,0.17230183259966908
667,Sheldon High,1,0,97.0,40.0,97009,8606,0.050676773145641583,0.2628045479155387,0.3181916621548457,0.08684353004872766
668,Valley High,1,0,54.0,17.0,50832,23538,0.05863061105410354,0.33864509768415124,0.18957365042956884,0.03917426208728195
669,West Campus,1,0,97.0,52.0,55003,13187,0.04666639777356512,0.2757633202920179,0.2298632678578631,0.08631468559674102
670,Alisal High,1,0,104.0,42.0,57081,13227,0.055589381393083295,0.26281660983925964,0.0914210910862153,0.014003896736483196
671,Everett Alvarez High,1,0,70.0,20.0,75373,17076,0.049369666658073165,0.2578566088324009,0.22746139369408852,0.043285467529454225
672,North Salinas High,1,0,32.0,13.0,75373,17076,0.049369666658073165,0.2578566088324009,0.22746139369408852,0.043285467529454225
673,Salinas High,1,0,62.0,30.0,72434,10077,0.024567692956558414,0.22864824968367778,0.27904892450442853,0.0984289329396879
674,Calaveras High,1,0,15.0,6.0,33138,1856,0.0014367816091954023,0.3077107279693487,0.28735632183908044,0.019636015325670497
675,Archie Williams High,1,0,84.0,39.0,148163,6381,0.0017131007122892436,0.06302407357316743,0.48588945992245963,0.31818591650888106
676,Arroyo Valley High,1,0,22.0,13.0,44129,6621,0.05841635399146073,0.4030922499676543,0.1016949152542373,0.01416742139992237
677,Cajon High,1,0,27.0,11.0,72281,17076,0.028838499268123572,0.30176420739066795,0.20400092447548857,0.05518605069207262
678,Indian Springs High,1,0,16.0,8.0,41060,12661,0.07392410920869967,0.33896344285053215,0.10396421409841122,0.018008637976245565
679,Capuchino High,1,0,58.0,25.0,112933,15195,0.029425259229804546,0.1894901049154253,0.39115406967852445,0.13709356743033677
680,San Clemente High,1,0,83.0,39.0,149882,9959,0.008604490159232519,0.11185837207002275,0.43240035604786864,0.24176639303728611
681,Audeo Charter,1,1,4.0,3.0,118155,1850,0.0,0.06738183037210861,0.4190412336573919,0.43245055313442843
682,Canyon Crest Academy,1,0,323.0,129.0,157333,20464,0.005519437441953032,0.05328379992039273,0.36383176330104816,0.4634469948255274
683,Canyon Hills High,1,0,35.0,8.0,94485,11274,0.004044440113049411,0.14082448104473247,0.4221810739693987,0.1991034012279505
