,School,Public Yes/No,Charter Yes/No,App,Adm,Median income (dollars),Total,none,high,higher,grad
49,Centennial High,1,0,67.0,40.0,97615,18584,0.009698697523617865,0.22701101235396054,0.3200290681424339,0.10976018782492034
50,East Bakersfield High,1,0,50.0,34.0,54450,21974,0.03781454511936584,0.3097750944787538,0.18566227302055488,0.06936123144990322
51,Foothill High,1,0,37.0,27.0,54450,21974,0.03781454511936584,0.3097750944787538,0.18566227302055488,0.06936123144990322
52,Frontier High,1,0,66.0,44.0,110877,9909,0.009960259570400925,0.196539061320992,0.3080134815634589,0.14482619850093062
53,Golden Valley High,1,0,58.0,37.0,42128,22422,0.06982031215844008,0.3680103178419971,0.10713505005902155,0.011891750098369257
54,Highland High,1,0,68.0,43.0,54450,21974,0.03781454511936584,0.3097750944787538,0.18566227302055488,0.06936123144990322
55,Independence High,1,0,78.0,50.0,93200,15182,0.013729423156729838,0.21140545026974686,0.34019228109005395,0.1606722921565915
56,Liberty High,1,0,82.0,44.0,97615,18584,0.009698697523617865,0.22701101235396054,0.3200290681424339,0.10976018782492034
57,Mira Monte High,1,0,72.0,44.0,42128,22422,0.06982031215844008,0.3680103178419971,0.10713505005902155,0.011891750098369257
58,North High,1,0,38.0,27.0,46071,20080,0.01519470814535994,0.3550690542747225,0.18859151421217238,0.04292712629044311
59,Ridgeview High,1,0,80.0,47.0,83312,15244,0.023390954714876882,0.3202829219616705,0.22440055175652276,0.04370029055263699
60,South High,1,0,78.0,55.0,41311,14649,0.0437605974241495,0.36033045925177676,0.1494281900501461,0.02781485623579494
61,Stockdale High,1,0,163.0,103.0,93200,15182,0.013729423156729838,0.21140545026974686,0.34019228109005395,0.1606722921565915
62,West High,1,0,56.0,39.0,52268,21448,0.022868145490992534,0.31706802416057817,0.212908501041859,0.06997599767889642
63,Baldwin Park High,1,0,71.0,47.0,68773,18032,0.07598197037990985,0.3419578918613046,0.1619153544459404,0.020507717223750707
64,Sierra Vista High,1,0,108.0,71.0,68773,18032,0.07598197037990985,0.3419578918613046,0.1619153544459404,0.020507717223750707
65,Banning High,1,0,66.0,38.0,44167,11988,0.020243439226519336,0.3314485497237569,0.18646408839779005,0.06573722375690608
66,Barstow High,1,0,15.0,13.0,46102,11206,0.01866680267251492,0.330188198092518,0.2019176824603458,0.040495741316876624
67,21st Century Learning Institute,1,0,3.0,,86068,17269,0.020364269962701805,0.29694263700961043,0.26489885927418255,0.08690207181944407
